"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.193600416941652e-01,3.498452335291701e-01,1401,252653,1.040301447462842e-01,-1.265674854871770e+00,0.000000000000000e+00,1.875717027280802e+00,9.794388840533437e-01,2.731954621582836e-03,0.000000000000000e+00,1.324152477731654e+00,1.000000000000000e+00,5.114188390294524e+00,1,2.749999985098839e-03,1.050099968910217e+00,2.749999985098839e-03,5.000000000000000e-01
7.193274414291246e-01,3.688532964337879e-01,1526,252778,1.277080279510222e-01,-1.366884401700482e+00,0.000000000000000e+00,1.875362421326780e+00,9.793579740786400e-01,3.028908891577083e-03,0.000000000000000e+00,1.324056205353462e+00,1.000000000000000e+00,5.113773097446018e+00,1,3.000000026077032e-03,1.050099968910217e+00,3.000000026077032e-03,5.000000000000000e-01
7.192948411640843e-01,3.878613593384059e-01,1651,252903,1.513859111557603e-01,-1.468093948529193e+00,0.000000000000000e+00,1.875007815372759e+00,9.792770641039363e-01,3.325863161571330e-03,0.000000000000000e+00,1.323959932975270e+00,1.000000000000000e+00,5.113357804597512e+00,1,3.250000067055225e-03,1.050099968910217e+00,3.250000067055225e-03,5.000000000000000e-01
7.192622408990437e-01,4.068694222430238e-01,1776,253028,1.750637943604983e-01,-1.569303495357904e+00,0.000000000000000e+00,1.874653209418739e+00,9.791961541292329e-01,3.622817431565576e-03,0.000000000000000e+00,1.323863660597079e+00,1.000000000000000e+00,5.112942511749005e+00,1,3.500000108033419e-03,1.050099968910217e+00,3.500000108033419e-03,5.000000000000000e-01
7.192296406643646e-01,4.258774674450064e-01,1901,253153,1.987416555134928e-01,-1.670512947927894e+00,0.000000000000000e+00,1.874298603794970e+00,9.791152442298827e-01,3.919771424999653e-03,0.000000000000000e+00,1.323767388308548e+00,1.000000000000000e+00,5.112527219287271e+00,1,3.749999916180968e-03,1.050099968910217e+00,3.749999916180968e-03,5.000000000000000e-01
7.191970403689626e-01,4.448855480522595e-01,2026,253279,2.224195607699744e-01,-1.771722589015325e+00,0.000000000000000e+00,1.873943997510696e+00,9.790343341798258e-01,4.216725971554067e-03,0.000000000000000e+00,1.323671115840696e+00,1.000000000000000e+00,5.112111926051993e+00,1,4.000000189989805e-03,1.050099968910217e+00,4.000000189989805e-03,5.000000000000000e-01
7.191732601285017e-01,4.493536812230869e-01,2151,253404,2.262405631886442e-01,-1.801321093218654e+00,0.000000000000000e+00,1.873456039333779e+00,9.789467954477133e-01,4.583801368084112e-03,0.000000000000000e+00,1.323527709074688e+00,1.000000000000000e+00,5.111526416424610e+00,1,4.250000230967999e-03,1.050099968910217e+00,4.250000230967999e-03,5.000000000000000e-01
7.191494799256322e-01,4.538218171210944e-01,2276,253529,2.300615735805257e-01,-1.830919596711818e+00,0.000000000000000e+00,1.872968082167097e+00,9.788592568836921e-01,4.950876027594074e-03,0.000000000000000e+00,1.323384302611615e+00,1.000000000000000e+00,5.110940908017183e+00,1,4.499999806284904e-03,1.050099968910217e+00,4.499999806284904e-03,5.000000000000000e-01
7.191256996784685e-01,4.582899613416694e-01,2401,253654,2.338825910896095e-01,-1.860518155336595e+00,0.000000000000000e+00,1.872480124091522e+00,9.787717181566173e-01,5.317951370835105e-03,0.000000000000000e+00,1.323240895881427e+00,1.000000000000000e+00,5.110355398519158e+00,1,4.749999847263098e-03,1.050099968910217e+00,4.749999847263098e-03,5.000000000000000e-01
7.191019194313046e-01,4.627581055622425e-01,2526,253779,2.377036085986893e-01,-1.890116713961359e+00,0.000000000000000e+00,1.871992166015946e+00,9.786841794295424e-01,5.685026714076060e-03,0.000000000000000e+00,1.323097489151239e+00,9.999999999999999e-01,5.109769889021134e+00,1,4.999999888241291e-03,1.050099968910217e+00,4.999999888241291e-03,5.000000000000000e-01
7.190781391841410e-01,4.672262497828157e-01,2651,253904,2.415246261077693e-01,-1.919715272586125e+00,0.000000000000000e+00,1.871504207940372e+00,9.785966407024679e-01,6.052102057317018e-03,0.000000000000000e+00,1.322954082421051e+00,1.000000000000000e+00,5.109184379523111e+00,1,5.249999929219484e-03,1.050099968910217e+00,5.249999929219484e-03,5.000000000000000e-01
7.190543589369773e-01,4.716943940033890e-01,2776,254029,2.453456436168496e-01,-1.949313831210891e+00,0.000000000000000e+00,1.871016249864797e+00,9.785091019753930e-01,6.419177400557971e-03,0.000000000000000e+00,1.322810675690863e+00,1.000000000000000e+00,5.108598870025086e+00,1,5.499999970197678e-03,1.050099968910217e+00,5.499999970197678e-03,5.000000000000000e-01
7.190305786898137e-01,4.761625382239628e-01,2901,254154,2.491666611259308e-01,-1.978912389835660e+00,0.000000000000000e+00,1.870528291789222e+00,9.784215632483184e-01,6.786252743799008e-03,0.000000000000000e+00,1.322667268960676e+00,1.000000000000000e+00,5.108013360527062e+00,1,5.750000011175871e-03,1.050099968910217e+00,5.750000011175871e-03,5.000000000000000e-01
