"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.169546759932006e-01,1.402647815126563e-01,1901,253153,2.907694798797522e-01,2.446205881313960e-01,0.000000000000000e+00,1.845897696652749e+00,9.730029562245318e-01,5.646260887531596e-03,0.000000000000000e+00,1.315627277986538e+00,5.078080276603411e+00,1,3.749999916180968e-03,1.050099968910217e+00,3.749999916180968e-03,5.000000000000000e-01
7.169511969306318e-01,1.414742710770614e-01,2026,253279,2.873313427163078e-01,2.562793112189512e-01,0.000000000000000e+00,1.845956958653544e+00,9.730036536576856e-01,6.011034039877294e-03,0.000000000000000e+00,1.315646498886988e+00,5.078149871915304e+00,1,4.000000189989805e-03,1.050099968910217e+00,4.000000189989805e-03,5.000000000000000e-01
7.169465905090415e-01,1.400448129114776e-01,2151,253404,2.807755345416509e-01,2.565117132440984e-01,0.000000000000000e+00,1.846025836387431e+00,9.730024884112954e-01,6.337660908494863e-03,0.000000000000000e+00,1.315666801575303e+00,5.078222153095757e+00,1,4.250000230967999e-03,1.050099968910217e+00,4.250000230967999e-03,5.000000000000000e-01
7.169419840968881e-01,1.386153594139534e-01,2276,253529,2.742197409474348e-01,2.567441235198725e-01,0.000000000000000e+00,1.846094713985716e+00,9.730013231684913e-01,6.664287197711858e-03,0.000000000000000e+00,1.315687104224980e+00,5.078294434139535e+00,1,4.499999806284904e-03,1.050099968910217e+00,4.499999806284904e-03,5.000000000000000e-01
7.169373776761547e-01,1.371859032538612e-01,2401,253654,2.676639351420808e-01,2.569765342285503e-01,0.000000000000000e+00,1.846163591712296e+00,9.730001579235167e-01,6.990914095318762e-03,0.000000000000000e+00,1.315707406912473e+00,5.078366715317946e+00,1,4.749999847263098e-03,1.050099968910217e+00,4.749999847263098e-03,5.000000000000000e-01
7.169327712554210e-01,1.357564470937679e-01,2526,253779,2.611081293367267e-01,2.572089449372230e-01,0.000000000000000e+00,1.846232469438876e+00,9.729989926785421e-01,7.317540992925663e-03,0.000000000000000e+00,1.315727709599966e+00,5.078438996496358e+00,1,4.999999888241291e-03,1.050099968910217e+00,4.999999888241291e-03,5.000000000000000e-01
7.169281648346877e-01,1.343269909336747e-01,2651,253904,2.545523235313728e-01,2.574413556458957e-01,0.000000000000000e+00,1.846301347165456e+00,9.729978274335678e-01,7.644167890532567e-03,0.000000000000000e+00,1.315748012287459e+00,5.078511277674770e+00,1,5.249999929219484e-03,1.050099968910217e+00,5.249999929219484e-03,5.000000000000000e-01
7.169235584139542e-01,1.328975347735814e-01,2776,254029,2.479965177260188e-01,2.576737663545682e-01,0.000000000000000e+00,1.846370224892036e+00,9.729966621885930e-01,7.970794788139468e-03,0.000000000000000e+00,1.315768314974952e+00,5.078583558853182e+00,1,5.499999970197678e-03,1.050099968910217e+00,5.499999970197678e-03,5.000000000000000e-01
7.169189519932205e-01,1.314680786134895e-01,2901,254154,2.414407119206649e-01,2.579061770632469e-01,0.000000000000000e+00,1.846439102618616e+00,9.729954969436184e-01,8.297421685746372e-03,0.000000000000000e+00,1.315788617662445e+00,5.078655840031594e+00,1,5.750000011175871e-03,1.050099968910217e+00,5.750000011175871e-03,5.000000000000000e-01
7.169143455724870e-01,1.300386224533962e-01,3026,254280,2.348849061153109e-01,2.581385877719195e-01,0.000000000000000e+00,1.846507980345195e+00,9.729943316986438e-01,8.624048583353274e-03,0.000000000000000e+00,1.315808920349938e+00,5.078728121210005e+00,1,6.000000052154064e-03,1.050099968910217e+00,6.000000052154064e-03,5.000000000000000e-01
7.169072514040894e-01,1.272370936319143e-01,3151,254405,2.274771171254961e-01,2.533136185638155e-01,0.000000000000000e+00,1.846568171931821e+00,9.729882972356549e-01,8.896648054014257e-03,0.000000000000000e+00,1.315825920712235e+00,5.078784369578033e+00,1,6.250000093132257e-03,1.050099968910217e+00,6.250000093132257e-03,5.000000000000000e-01
7.169001572362108e-01,1.244355650966704e-01,3276,254530,2.200693283134189e-01,2.484886504107690e-01,0.000000000000000e+00,1.846628363520259e+00,9.729822627736817e-01,9.169247535946239e-03,0.000000000000000e+00,1.315842921075222e+00,5.078840617949405e+00,1,6.500000134110451e-03,1.050099968910217e+00,6.500000134110451e-03,5.000000000000000e-01
7.168930630683321e-01,1.216340365614265e-01,3401,254655,2.126615395013418e-01,2.436636822577226e-01,0.000000000000000e+00,1.846688555108697e+00,9.729762283117086e-01,9.441847017878219e-03,0.000000000000000e+00,1.315859921438209e+00,5.078896866320777e+00,1,6.750000175088644e-03,1.050099968910217e+00,6.750000175088644e-03,5.000000000000000e-01
7.168859689004534e-01,1.188325080261810e-01,3526,254780,2.052537506892644e-01,2.388387141046698e-01,0.000000000000000e+00,1.846748746697135e+00,9.729701938497356e-01,9.714446499810195e-03,0.000000000000000e+00,1.315876921801196e+00,5.078953114692148e+00,1,7.000000216066837e-03,1.050099968910217e+00,7.000000216066837e-03,5.000000000000000e-01
7.168788747457887e-01,1.160309847091914e-01,3651,254905,1.978459756752671e-01,2.340137549388318e-01,0.000000000000000e+00,1.846808938173458e+00,9.729641593990024e-01,9.987045473986163e-03,0.000000000000000e+00,1.315893922132517e+00,5.079009362958748e+00,1,7.249999791383743e-03,1.050099968910217e+00,7.249999791383743e-03,5.000000000000000e-01
7.168717805779101e-01,1.132294561739475e-01,3776,255030,1.904381868631900e-01,2.291887867857854e-01,0.000000000000000e+00,1.846869129761896e+00,9.729581249370293e-01,1.025964495591814e-02,0.000000000000000e+00,1.315910922495503e+00,5.079065611330121e+00,1,7.499999832361937e-03,1.050099968910217e+00,7.499999832361937e-03,5.000000000000000e-01
7.168646864100314e-01,1.104279276387037e-01,3901,255155,1.830303980511129e-01,2.243638186327391e-01,0.000000000000000e+00,1.846929321350334e+00,9.729520904750565e-01,1.053224443785013e-02,0.000000000000000e+00,1.315927922858490e+00,5.079121859701493e+00,1,7.749999873340130e-03,1.050099968910217e+00,7.749999873340130e-03,5.000000000000000e-01
7.168575922289390e-01,1.076263938852072e-01,4026,255281,1.756225954409560e-01,2.195388414924906e-01,0.000000000000000e+00,1.846989513050888e+00,9.729460560018430e-01,1.080484442753813e-02,0.000000000000000e+00,1.315944923253142e+00,5.079178108177635e+00,1,8.000000379979610e-03,1.050099968910217e+00,8.000000379979610e-03,5.000000000000000e-01
