"ObjectId","Points:0","Points:1","Points:2","arc_length","pressure","wall-heat-flux","wall-tau-mag","wall-y_plus"
3.00000000e+00,1.41489279e+00,0.00000000e+00,1.37250006e-01,2.03107238e-01,3.63274122e+03,1.50900668e+05,1.39521641e+02,1.17112606e-01
3.00000000e+00,1.40738499e+00,0.00000000e+00,1.37250006e-01,2.10615039e-01,3.63512095e+03,1.51113294e+05,1.39787744e+02,1.19230437e-01
3.00000000e+00,1.39964640e+00,-1.00974196e-28,1.37250006e-01,2.18353629e-01,3.63804909e+03,1.51355593e+05,1.40084200e+02,1.21437208e-01
3.00000000e+00,1.39166856e+00,0.00000000e+00,1.37250006e-01,2.26331472e-01,3.64155684e+03,1.51629813e+05,1.40413656e+02,1.23738372e-01
3.00000000e+00,1.38344264e+00,0.00000000e+00,1.37250006e-01,2.34557390e-01,3.64568249e+03,1.51938282e+05,1.40779565e+02,1.26140158e-01
3.00000000e+00,1.37495971e+00,0.00000000e+00,1.37250006e-01,2.43040323e-01,3.65050570e+03,1.52284986e+05,1.41187262e+02,1.28650705e-01
3.00000000e+00,1.36621046e+00,0.00000000e+00,1.37250006e-01,2.51789570e-01,3.65618885e+03,1.52677265e+05,1.41645147e+02,1.31281515e-01
3.00000000e+00,1.35718524e+00,0.00000000e+00,1.37250006e-01,2.60814786e-01,3.66300905e+03,1.53127049e+05,1.42165464e+02,1.34048668e-01
3.00000000e+00,1.34787416e+00,0.00000000e+00,1.37250006e-01,2.70125866e-01,3.67135842e+03,1.53651468e+05,1.42763651e+02,1.36972925e-01
3.00000000e+00,1.33826709e+00,0.00000000e+00,1.37250006e-01,2.79732943e-01,3.70988072e+03,1.55515549e+05,1.44637660e+02,1.42500540e-01
3.00000000e+00,1.32835340e+00,0.00000000e+00,1.37250006e-01,2.89646626e-01,3.71693796e+03,1.55913969e+05,1.45070386e+02,1.44219676e-01
3.00000000e+00,1.31812239e+00,0.00000000e+00,1.37250006e-01,2.99877644e-01,3.73255447e+03,1.56781457e+05,1.46004020e+02,1.47781070e-01
3.00000000e+00,1.30756259e+00,0.00000000e+00,1.37250006e-01,3.10437441e-01,3.75138623e+03,1.57799349e+05,1.47084296e+02,1.51604408e-01
3.00000000e+00,1.29666269e+00,0.00000000e+00,1.37250006e-01,3.21337342e-01,3.77399492e+03,1.58992842e+05,1.48337886e+02,1.55728252e-01
3.00000000e+00,1.28541064e+00,0.00000000e+00,1.37250006e-01,3.32589388e-01,3.80125635e+03,1.60410745e+05,1.49807384e+02,1.60208777e-01
3.00000000e+00,1.27379405e+00,0.00000000e+00,1.37250006e-01,3.44205976e-01,3.83434201e+03,1.62104780e+05,1.51540795e+02,1.65115457e-01
3.00000000e+00,1.26180029e+00,0.00000000e+00,1.37250006e-01,3.56199741e-01,3.87456048e+03,1.64126207e+05,1.53589884e+02,1.70528070e-01
3.00000000e+00,1.24941611e+00,0.00000000e+00,1.37250006e-01,3.68583918e-01,3.92351282e+03,1.66552924e+05,1.56029560e+02,1.76551772e-01
3.00000000e+00,1.23662806e+00,0.00000000e+00,1.37250006e-01,3.81371975e-01,3.95040712e+03,1.67879015e+05,1.57358284e+02,1.79731779e-01
3.00000000e+00,1.22342205e+00,0.00000000e+00,1.37250006e-01,3.94577980e-01,4.05976122e+03,1.73185849e+05,1.62605958e+02,1.91157783e-01
3.00000000e+00,1.20978367e+00,0.00000000e+00,1.37250006e-01,4.08216357e-01,4.15604257e+03,1.77803955e+05,1.67107777e+02,2.00267253e-01
3.00000000e+00,1.19569790e+00,0.00000000e+00,1.37250006e-01,4.22302127e-01,4.27753700e+03,1.83598045e+05,1.72711768e+02,2.11007750e-01
3.00000000e+00,1.18114924e+00,0.00000000e+00,1.37250006e-01,4.36850786e-01,4.43190104e+03,1.90930867e+05,1.79810323e+02,2.23907548e-01
3.00000000e+00,1.16612196e+00,0.00000000e+00,1.37250006e-01,4.51878071e-01,4.63604071e+03,2.00549414e+05,1.89255414e+02,2.40059960e-01
3.00000000e+00,1.15059936e+00,0.00000000e+00,1.37250006e-01,4.67400670e-01,4.93291911e+03,2.14551010e+05,2.03708939e+02,2.62478052e-01
3.00000000e+00,1.13456452e+00,0.00000000e+00,1.37250006e-01,4.83435512e-01,5.38376024e+03,2.39199386e+05,2.32162361e+02,2.98846527e-01
3.00000000e+00,1.11800289e+00,0.00000000e+00,1.37250006e-01,4.99997139e-01,5.65511960e+03,2.55350847e+05,2.51615173e+02,3.21868920e-01
3.00000000e+00,1.11800003e+00,0.00000000e+00,1.37250006e-01,5.00000000e-01,5.65516574e+03,2.55353594e+05,2.51618481e+02,3.21872835e-01
4.00000000e+00,1.11800003e+00,0.00000000e+00,1.37250006e-01,0.00000000e+00,1.07483048e+04,4.46109817e+05,3.90391032e+02,5.53291178e-01
4.00000000e+00,1.10427761e+00,0.00000000e+00,1.35565385e-01,1.38254386e-02,1.07742442e+04,4.44399514e+05,3.88411547e+02,5.52626413e-01
4.00000000e+00,1.09055519e+00,0.00000000e+00,1.33880779e-01,2.76508753e-02,1.08020671e+04,4.43148881e+05,3.86798838e+02,5.52240382e-01
4.00000000e+00,1.07683289e+00,0.00000000e+00,1.32196173e-01,4.14761937e-02,1.08040099e+04,4.44063732e+05,3.87559943e+02,5.52770805e-01
4.00000000e+00,1.06311047e+00,0.00000000e+00,1.30511567e-01,5.53016305e-02,1.08043902e+04,4.44979436e+05,3.88353637e+02,5.53283865e-01
4.00000000e+00,1.04938805e+00,0.00000000e+00,1.28826961e-01,6.91270672e-02,1.08050165e+04,4.45909176e+05,3.89158957e+02,5.53810118e-01
4.00000000e+00,1.03566563e+00,0.00000000e+00,1.27142355e-01,8.29525039e-02,1.08055991e+04,4.46851544e+05,3.89974998e+02,5.54341555e-01
4.00000000e+00,1.02194333e+00,0.00000000e+00,1.25457749e-01,9.67778224e-02,1.08061583e+04,4.47807459e+05,3.90802766e+02,5.54879333e-01
4.00000000e+00,1.00822091e+00,0.00000000e+00,1.23773135e-01,1.10603260e-01,1.08067189e+04,4.48779319e+05,3.91644276e+02,5.55425370e-01
4.00000000e+00,9.94498551e-01,0.00000000e+00,1.22088529e-01,1.24428638e-01,1.08073137e+04,4.49767655e+05,3.92499597e+02,5.55980498e-01
4.00000000e+00,9.80776131e-01,0.00000000e+00,1.20403923e-01,1.38254074e-01,1.08079550e+04,4.50773270e+05,3.93369361e+02,5.56545407e-01
4.00000000e+00,9.67053771e-01,0.00000000e+00,1.18719310e-01,1.52079453e-01,1.08086619e+04,4.51796192e+05,3.94253566e+02,5.57120556e-01
4.00000000e+00,9.53331351e-01,0.00000000e+00,1.17034703e-01,1.65904890e-01,1.08098918e+04,4.53362828e+05,3.95606153e+02,5.58003162e-01
4.00000000e+00,9.39608991e-01,0.00000000e+00,1.15350097e-01,1.79730267e-01,1.08103608e+04,4.53897139e+05,3.96066398e+02,5.58304336e-01
4.00000000e+00,9.25886571e-01,0.00000000e+00,1.13665491e-01,1.93555704e-01,1.08113140e+04,4.54973608e+05,3.96993418e+02,5.58910849e-01
4.00000000e+00,9.12164211e-01,0.00000000e+00,1.11980878e-01,2.07381082e-01,1.08122619e+04,4.56064753e+05,3.97932170e+02,5.59523873e-01
4.00000000e+00,8.98441792e-01,0.00000000e+00,1.10296272e-01,2.21206519e-01,1.08131372e+04,4.57169657e+05,3.98881903e+02,5.60141153e-01
4.00000000e+00,8.84719431e-01,0.00000000e+00,1.08611666e-01,2.35031897e-01,1.08138986e+04,4.58288624e+05,3.99843320e+02,5.60762057e-01
4.00000000e+00,8.70997071e-01,0.00000000e+00,1.06927060e-01,2.48857274e-01,1.08145163e+04,4.59422220e+05,4.00816996e+02,5.61386146e-01
4.00000000e+00,8.57274652e-01,0.00000000e+00,1.05242446e-01,2.62682712e-01,1.08149877e+04,4.60573041e+05,4.01805375e+02,5.62014885e-01
4.00000000e+00,8.43552291e-01,0.00000000e+00,1.03557840e-01,2.76508090e-01,1.08153506e+04,4.61744817e+05,4.02811847e+02,5.62651378e-01
4.00000000e+00,8.29829872e-01,0.00000000e+00,1.01873234e-01,2.90333526e-01,1.08156434e+04,4.62940527e+05,4.03838732e+02,5.63298036e-01
4.00000000e+00,8.16107512e-01,0.00000000e+00,1.00188628e-01,3.04158904e-01,1.08159238e+04,4.64163098e+05,4.04888500e+02,5.63957865e-01
4.00000000e+00,8.02385092e-01,0.00000000e+00,9.85040143e-02,3.17984342e-01,1.08162864e+04,4.65415184e+05,4.05963483e+02,5.64634749e-01
4.00000000e+00,7.88662732e-01,0.00000000e+00,9.68194082e-02,3.31809719e-01,1.08172118e+04,4.67350584e+05,4.07622680e+02,5.65687523e-01
4.00000000e+00,7.74940372e-01,0.00000000e+00,9.51348022e-02,3.45635097e-01,1.08176893e+04,4.68015879e+05,4.08190860e+02,5.66051509e-01
4.00000000e+00,7.61217952e-01,0.00000000e+00,9.34501961e-02,3.59460533e-01,1.08186836e+04,4.69355675e+05,4.09333609e+02,5.66783843e-01
4.00000000e+00,7.47495592e-01,0.00000000e+00,9.17655826e-02,3.73285912e-01,1.08196801e+04,4.70710525e+05,4.10486362e+02,5.67521134e-01
4.00000000e+00,7.33773172e-01,0.00000000e+00,9.00809765e-02,3.87111349e-01,1.08205644e+04,4.72077372e+05,4.11647117e+02,5.68259121e-01
4.00000000e+00,7.20050812e-01,0.00000000e+00,8.83963704e-02,4.00936726e-01,1.08213127e+04,4.73461109e+05,4.12820831e+02,5.69000307e-01
4.00000000e+00,7.06328392e-01,0.00000000e+00,8.67117643e-02,4.14762163e-01,1.08219932e+04,4.74872152e+05,4.14017208e+02,5.69752578e-01
4.00000000e+00,6.92606032e-01,0.00000000e+00,8.50271508e-02,4.28587541e-01,1.08228296e+04,4.76325036e+05,4.15250689e+02,5.70530915e-01
4.00000000e+00,6.78883612e-01,0.00000000e+00,8.33425447e-02,4.42412978e-01,1.08242929e+04,4.77844748e+05,4.16540264e+02,5.71359365e-01
4.00000000e+00,6.65161252e-01,0.00000000e+00,8.16579387e-02,4.56238356e-01,1.08266986e+04,4.79446530e+05,4.17892939e+02,5.72250147e-01
4.00000000e+00,6.51438892e-01,0.00000000e+00,7.99733326e-02,4.70063733e-01,1.08297666e+04,4.81113615e+05,4.19292762e+02,5.73185692e-01
4.00000000e+00,6.37716472e-01,0.00000000e+00,7.82887191e-02,4.83889171e-01,1.08328680e+04,4.82812812e+05,4.20712688e+02,5.74132510e-01
4.00000000e+00,6.23994112e-01,0.00000000e+00,7.66041130e-02,4.97714549e-01,1.08343433e+04,4.83666075e+05,4.21424138e+02,5.74604321e-01
