"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.503304395445642e-01,9.487324079118455e-01,1.560490843664632e-02,8.075293648120615e+00,-1.684869551252851e-01,-5.707387696914846e-13,1.958029197320439e+00,8.947647756577202e-01,-1.333473592757203e-03,0.000000000000000e+00,1.352146964200454e+00,2.135378851433977e+00,9.819102786116377e-01,5.132818747163605e+00,1,2.499999944120646e-03,5.200999975204468e-01,2.499999944120646e-03,5.000000000000000e-01
6.503921682510609e-01,9.475724760381274e-01,1.560490843664632e-02,8.050033689857372e+00,-1.944742860325992e-01,-5.665928761057755e-13,1.957976267754267e+00,8.948385935532940e-01,-1.470277963665435e-03,0.000000000000000e+00,1.352114072849742e+00,2.135044585065840e+00,9.819102786116377e-01,5.132769886476996e+00,1,2.749999985098839e-03,5.200999975204468e-01,2.749999985098839e-03,5.000000000000000e-01
6.504538969575580e-01,9.464125441644095e-01,1.560490843664632e-02,8.024773731594131e+00,-2.204616169399133e-01,-5.624469825200663e-13,1.957923338188094e+00,8.949124114488680e-01,-1.607082334573667e-03,0.000000000000000e+00,1.352081181499030e+00,2.134710318697703e+00,9.819102786116378e-01,5.132721025790389e+00,1,3.000000026077032e-03,5.200999975204468e-01,3.000000026077032e-03,5.000000000000000e-01
6.505156256640549e-01,9.452526122906915e-01,1.560490843664632e-02,7.999513773330890e+00,-2.464489478472274e-01,-5.583010889343574e-13,1.957870408621921e+00,8.949862293444419e-01,-1.743886705481898e-03,0.000000000000000e+00,1.352048290148318e+00,2.134376052329567e+00,9.819102786116378e-01,5.132672165103781e+00,1,3.250000067055225e-03,5.200999975204468e-01,3.250000067055225e-03,5.000000000000000e-01
6.505773543705518e-01,9.440926804169916e-01,1.560490843664632e-02,7.974253815067814e+00,-2.724362787545466e-01,-5.541551953486835e-13,1.957817479055748e+00,8.950600472400159e-01,-1.880691076390104e-03,0.000000000000000e+00,1.352015398797607e+00,2.134041785961460e+00,9.819102786116580e-01,5.132623304417175e+00,1,3.500000108033419e-03,5.200999975204468e-01,3.500000108033419e-03,5.000000000000000e-01
6.506390830195593e-01,9.429327496235256e-01,1.560490843664632e-02,7.948993880329572e+00,-2.984235854592716e-01,-5.500093056241029e-13,1.957764549538870e+00,8.951338650668414e-01,-2.017495319889383e-03,0.000000000000000e+00,1.351982507477527e+00,2.133707519904603e+00,9.819102786116378e-01,5.132574443776070e+00,1,3.749999916180968e-03,5.200999975204468e-01,3.749999916180968e-03,5.000000000000000e-01
6.507008117835456e-01,9.417728166695551e-01,1.560490843664632e-02,7.923733898541331e+00,-3.244109405691756e-01,-5.458634081772652e-13,1.957711619923403e+00,8.952076830311636e-01,-2.154299818206564e-03,0.000000000000000e+00,1.351949616096183e+00,2.133373253225186e+00,9.819102786116580e-01,5.132525583043957e+00,1,4.000000189989805e-03,5.200999975204468e-01,4.000000189989805e-03,5.000000000000000e-01
6.507625404900423e-01,9.406128847958188e-01,1.560490843664632e-02,7.898473940277924e+00,-3.503982714764838e-01,-5.417175145915209e-13,1.957658690357230e+00,8.952815009267374e-01,-2.291104189114826e-03,0.000000000000000e+00,1.351916724745471e+00,2.133038986857019e+00,9.819102786116378e-01,5.132476722357349e+00,1,4.250000230967999e-03,5.200999975204468e-01,4.250000230967999e-03,5.000000000000000e-01
6.508242690815607e-01,9.394529550826418e-01,1.560490843664632e-02,7.873214029065013e+00,-3.763855539786299e-01,-5.375716287281392e-13,1.957605760889646e+00,8.953553186848147e-01,-2.427908305205101e-03,0.000000000000000e+00,1.351883833456024e+00,2.132704721111502e+00,9.819102786116378e-01,5.132427861761751e+00,1,4.499999806284904e-03,5.200999975204468e-01,4.499999806284904e-03,5.000000000000000e-01
6.508859977880574e-01,9.382930232089237e-01,1.560490843664632e-02,7.847954070801771e+00,-4.023728848859441e-01,-5.334257351424301e-13,1.957552831323473e+00,8.954291365803885e-01,-2.564712676113333e-03,0.000000000000000e+00,1.351850942105312e+00,2.132370454743365e+00,9.819102786116378e-01,5.132379001075143e+00,1,4.749999847263098e-03,5.200999975204468e-01,4.749999847263098e-03,5.000000000000000e-01
6.509477264945543e-01,9.371330913352057e-01,1.560490843664632e-02,7.822694112538530e+00,-4.283602157932582e-01,-5.292798415567210e-13,1.957499901757301e+00,8.955029544759624e-01,-2.701517047021565e-03,0.000000000000000e+00,1.351818050754600e+00,2.132036188375228e+00,9.819102786116378e-01,5.132330140388536e+00,1,4.999999888241291e-03,5.200999975204468e-01,4.999999888241291e-03,5.000000000000000e-01
6.510094552010512e-01,9.359731594614875e-01,1.560490843664632e-02,7.797434154275288e+00,-4.543475467005723e-01,-5.251339479710118e-13,1.957446972191128e+00,8.955767723715362e-01,-2.838321417929796e-03,0.000000000000000e+00,1.351785159403889e+00,2.131701922007091e+00,9.819102786116378e-01,5.132281279701926e+00,1,5.249999929219484e-03,5.200999975204468e-01,5.249999929219484e-03,5.000000000000000e-01
6.510711839075480e-01,9.348132275877693e-01,1.560490843664632e-02,7.772174196012045e+00,-4.803348776078865e-01,-5.209880543853027e-13,1.957394042624955e+00,8.956505902671101e-01,-2.975125788838029e-03,0.000000000000000e+00,1.351752268053177e+00,2.131367655638954e+00,9.819102786116378e-01,5.132232419015319e+00,1,5.499999970197678e-03,5.200999975204468e-01,5.499999970197678e-03,5.000000000000000e-01
