x ch normalized_heat_flux
0.0192999598 -0.00712227076 71485.2889648557
0.0193497371 -0.00680482574 68299.135313888
0.0194001086 -0.00649599591 65199.4511847048
0.019451052 -0.00619579945 62186.41904756
0.0195025392 -0.00590378512 59255.5098662965
0.0195545442 -0.00561914081 56398.5726003294
0.0196070429 -0.00534181157 53615.0557237815
0.0196600035 -0.00507187704 50905.7585727922
0.0197134018 -0.00480955793 48272.8963844198
0.0197672118 -0.00455506518 45718.586335526
0.0198214035 -0.00430859439 43244.7916374224
0.0198759492 -0.00407025823 40852.6431439869
0.0199308228 -0.003840263 38544.2114610149
0.0199859943 -0.00361859985 36319.407762228
0.020041436 -0.00340612349 34186.8106587726
0.0200971197 -0.00320166117 32134.6494141158
0.0201530177 -0.00300186081 30129.2796449549
0.02021452225 -0.00282661605 28370.371182989
0.0202760268 -0.00265137129 26611.462721023
0.0203487631 -0.00256008026 25695.1867355465
0.0204278119 -0.00248658913 24957.5659905015
0.0205137152 -0.00243144436 24404.0852325823
0.0206070691 -0.00238237623 23911.5949060821
0.0207085144 -0.00233800197 23466.2163315246
0.0208187513 -0.00229626102 23047.2679409108
0.0209385343 -0.00225623208 22645.5027680775
0.0210686885 -0.00221759966 22257.7542816507
0.0212101042 -0.00217941194 21874.4691902666
0.0213637482 -0.00214117789 21490.7190908044
0.0215306729 -0.00210241368 21101.6478455904
0.0217120145 -0.00206167996 20692.8088891768
0.0219090097 -0.0020182142 20256.5488088767
0.0221229922 -0.00197217008 19794.41007051
0.0223554168 -0.0019241675 19312.6145283311
0.0226078518 -0.00187550334 18824.1787952543
0.0228819996 -0.00182670273 18334.3735315871
0.0231797025 -0.00177732669 17838.7927531697
0.0235029534 -0.00172621512 17325.7926898448
0.0238539111 -0.00167350727 16796.7709754321
0.0242349096 -0.00162076578 16267.4116207918
0.0246484708 -0.0015682223 15740.0396663143
0.0250973199 -0.00151585648 15214.450861743
0.0255844016 -0.00146485807 14702.586570361
0.0261128936 -0.00141624862 14214.6999543132
0.0266862232 -0.00136933639 13743.8481107734
0.0273080822 -0.0013221713 13270.4583448803
0.027982451 -0.00127382309 12785.1937601366
0.0287136119 -0.00122575311 12302.7217330784
0.0295061674 -0.00118076999 11851.2321112852
0.0304008862 -0.0011438753 11480.9249908748
0.031295605 -0.00110698061 11110.6178704644
0.0323034823 -0.00106918567 10731.2750599547
0.0333947837 -0.00103050098 10343.001946456
0.03457601 -0.000992007088 9956.64384723069
0.0358541161 -0.000956245756 9597.71209106306
0.0372364931 -0.000927466026 9308.85375013409
0.0387310162 -0.000904004031 9073.36881158241
0.0403460413 -0.000882755092 8860.09602319833
0.0420904085 -0.000865662005 8688.53497129914
0.0439734645 -0.00085264846 8557.9197425147
0.0460050628 -0.00084062852 8437.27719560875
0.0481955446 -0.00082668144 8297.29219958538
