x ch normalized_heat_flux
0.0387310162 -0.00118201389 11863.7169709514
0.0403460413 -0.00116227276 11665.5778619374
0.0420904085 -0.00114424108 11484.5962763228
0.0439734645 -0.00112756167 11317.1872457212
0.0460050628 -0.00111321232 11173.1647189495
0.0481955446 -0.00110053085 11045.8824829889
0.0505557396 -0.00108882436 10928.385992247
0.0530969501 -0.00107846956 10824.4562351349
0.0558309145 -0.00106972409 10736.6791102333
0.0587697774 -0.00106193474 10658.4984352264
0.0619260333 -0.001054005 10578.9086843706
0.0653124675 -0.0010456848 10495.3999381733
0.0689420775 -0.00103705889 10408.8228211676
0.0728279725 -0.00102766114 10314.4988482371
0.076983273 -0.00101706898 10208.1867402203
0.0814209655 -0.00100522512 10089.3114849697
0.086153768 -0.000992408255 9960.67030731407
0.0911939517 -0.000978735276 9823.43642674963
0.0965531468 -0.000964482781 9680.38602079383
0.102242149 -0.00095016096 9536.63979895152
0.108270667 -0.000936110795 9395.62015242675
0.11464712 -0.000922429259 9258.30038638586
0.121378347 -0.000909054594 9124.0606439567
0.128469378 -0.000895946752 8992.49896866374
0.135923132 -0.000882884429 8861.3941615492
0.1439208535 -0.0008697891895 8729.95897588077
0.151918575 -0.00085669395 8598.52379021233
0.160453424 -0.000842861831 8459.69264253053
0.16933693 -0.000829141005 8321.97852795979
0.178558066 -0.000815211621 8182.17114434631
0.188102499 -0.000801361632 8043.16063783966
0.197952598 -0.000787048135 7899.49796288365
0.20808737 -0.000770659943 7735.01184880455
0.218482539 -0.000752567837 7553.42377542544
0.229110733 -0.0007360616 7387.75285930495
0.239941671 -0.000722483906 7251.47534167427
0.250942498 -0.000708938111 7115.51799008466
0.262078047 -0.000693341019 6958.97204200118
0.273311466 -0.000677239208 6797.36029611573
0.28460446 -0.000663245039 6656.90267403173
0.295917958 -0.000651300361 6537.01552185863
0.307212591 -0.000639138219 6414.94571229952
0.318449229 -0.000626112334 6284.20662856831
0.329589576 -0.000613410491 6156.7199115032
0.340596676 -0.000602385029 6046.05880866118
0.351435304 -0.000592986587 5951.72789021834
0.362072468 -0.000584125519 5862.79052349047
0.372477829 -0.000575100014 5772.20272435733
0.382623851 -0.000565970549 5680.57149246359
0.392486155 -0.000557283056 5593.37627503758
0.402043581 -0.000549551391 5515.77457674094
0.411278367 -0.000542904076 5449.05635587743
0.420176059 -0.000537067303 5390.47343779033
0.428725481 -0.000531681697 5336.41882316895
0.436918706 -0.000526585558 5285.26955051478
0.444750726 -0.000521352806 5232.74911126074
0.452219486 -0.000516738743 5186.43837161441
0.4592030645 -0.000511670107 5135.56514293113
0.466186643 -0.000506601471 5084.69191424786
0.473047853 -0.000502246723 5040.98388493543
0.479909033 -0.000497904257 4997.39912843145
0.486770242 -0.000493852363 4956.73080463341
0.493631423 -0.000490161823 4919.68934310712
0.500492632 -0.000486818113 4886.12896838687
