,iteration,time,absolute-residual,relative-residual,cfl
38,1.900000000000000000e+03,4.178125662999999799e-05,4.799029250000000320e+04,4.476431385999999790e+00,7.468990741999999727e+02
39,1.950000000000000000e+03,4.612510945999999992e-05,4.551826348000000144e+04,4.245845830000000376e+00,7.468990741999999727e+02
40,2.000000000000000000e+03,5.050805702000000049e-05,4.316758969999999681e+04,4.026580029999999866e+00,7.842440278999999919e+02
41,2.050000000000000000e+03,5.062387174999999931e-05,4.311449186000000191e+04,4.021627177000000053e+00,2.134379142999999956e+01
42,2.100000000000000000e+03,5.288188794999999732e-05,4.206000486999999703e+04,3.923266895999999893e+00,1.000000000000000000e+03
43,2.150000000000000000e+03,5.869773783999999880e-05,3.929248948999999993e+04,3.665119006999999929e+00,1.000000000000000000e+03
44,2.200000000000000000e+03,6.451358774000000350e-05,3.694375650000000314e+04,3.446034239999999915e+00,1.000000000000000000e+03
45,2.250000000000000000e+03,7.032943762999999820e-05,3.460804723999999987e+04,3.228164297000000182e+00,1.000000000000000000e+03
46,2.300000000000000000e+03,7.614528752000000646e-05,3.253166869999999835e+04,3.034484168000000093e+00,1.000000000000000000e+03
47,2.350000000000000000e+03,8.196113741000000117e-05,3.122641674000000057e+04,2.912733069999999813e+00,1.000000000000000000e+03
48,2.400000000000000000e+03,8.777698729999999588e-05,3.058936694999999963e+04,2.853310433999999951e+00,1.000000000000000000e+03
49,2.450000000000000000e+03,9.359283719000000413e-05,3.022661158000000069e+04,2.819473391999999912e+00,1.000000000000000000e+03
50,2.500000000000000000e+03,9.940868709000000205e-05,2.996365165999999954e+04,2.794945055999999983e+00,1.000000000000000000e+03
