"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.256978919756496e-01,1.747421607387539e-01,7.953677292571865e-08,-1.563726816829532e-01,-4.699916962590066e-01,5.041081205143901e-17,1.844648693347731e+00,9.845837376585465e-01,-1.913332529915340e-02,0.000000000000000e+00,1.315314461585309e+00,0.000000000000000e+00,5.088486308429193e+00,1,1.494999974966049e-01,1.050099968910217e+00,1.494999974966049e-01,5.000000000000000e-01
7.257379113390714e-01,1.747164072714717e-01,8.032424396800739e-08,-1.553427230692429e-01,-4.702520373557552e-01,2.305986210196632e-16,1.844539608919707e+00,9.846276621317120e-01,-1.906767693215899e-02,0.000000000000000e+00,1.315283225687005e+00,0.000000000000000e+00,5.088418944942181e+00,1,1.497499942779541e-01,1.050099968910217e+00,1.497499942779541e-01,5.000000000000000e-01
7.257776812756225e-01,1.749252260889315e-01,8.111176336939497e-08,-1.530930863797143e-01,-4.717602584269222e-01,2.087244824337963e-16,1.844316621122489e+00,9.846596902749504e-01,-1.900424451256820e-02,0.000000000000000e+00,1.315221239442097e+00,0.000000000000000e+00,5.088232283405163e+00,1,1.500000059604645e-01,1.050099968910217e+00,1.500000059604645e-01,5.000000000000000e-01
7.258176465785361e-01,1.748691558855725e-01,8.195885831166024e-08,-1.519522932701642e-01,-4.719094164483568e-01,1.421119585772103e-16,1.844207224731705e+00,9.847036621899645e-01,-1.892608759933194e-02,0.000000000000000e+00,1.315189926692076e+00,0.000000000000000e+00,5.088164554469977e+00,1,1.502500027418137e-01,1.050099968910217e+00,1.502500027418137e-01,5.000000000000000e-01
7.258576118814499e-01,1.748130856822129e-01,8.280595325392564e-08,-1.508115001606140e-01,-4.720585744697894e-01,7.549943472054304e-17,1.844097828340920e+00,9.847476341049788e-01,-1.884793068609559e-02,0.000000000000000e+00,1.315158613942055e+00,0.000000000000000e+00,5.088096825534790e+00,1,1.504999995231628e-01,1.050099968910217e+00,1.504999995231628e-01,5.000000000000000e-01
7.258975771843638e-01,1.747570154788534e-01,8.365304819619066e-08,-1.496707070510643e-01,-4.722077324912220e-01,8.886910863905425e-18,1.843988431950136e+00,9.847916060199929e-01,-1.876977377285926e-02,0.000000000000000e+00,1.315127301192035e+00,0.000000000000000e+00,5.088029096599605e+00,1,1.507499963045120e-01,1.050099968910217e+00,1.507499963045120e-01,5.000000000000000e-01
7.259375424872775e-01,1.747009452754936e-01,8.450014313845578e-08,-1.485299139415144e-01,-4.723568905126535e-01,-5.772561299277674e-17,1.843879035559352e+00,9.848355779350071e-01,-1.869161685962289e-02,0.000000000000000e+00,1.315095988442014e+00,0.000000000000000e+00,5.087961367664419e+00,1,1.509999930858612e-01,1.050099968910217e+00,1.509999930858612e-01,5.000000000000000e-01
7.259775101723396e-01,1.746448717300467e-01,8.534728857216437e-08,-1.473890528345207e-01,-4.725060574247125e-01,-1.243421073163473e-16,1.843769632647950e+00,9.848795524709857e-01,-1.861345528781155e-02,0.000000000000000e+00,1.315064673825584e+00,0.000000000000000e+00,5.087893634692220e+00,1,1.512500047683716e-01,1.050099968910217e+00,1.512500047683716e-01,5.000000000000000e-01
7.260174754752533e-01,1.745888015266872e-01,8.619438351442958e-08,-1.462482597249707e-01,-4.726552154461451e-01,-1.909546311729997e-16,1.843660236257166e+00,9.849235243859997e-01,-1.853529837457521e-02,0.000000000000000e+00,1.315033361075563e+00,0.000000000000000e+00,5.087825905757033e+00,1,1.515000015497208e-01,1.050099968910217e+00,1.515000015497208e-01,5.000000000000000e-01
7.260574407781670e-01,1.745327313233275e-01,8.704147845669479e-08,-1.451074666154208e-01,-4.728043734675776e-01,-2.575671550296522e-16,1.843550839866382e+00,9.849674963010140e-01,-1.845714146133887e-02,0.000000000000000e+00,1.315002048325542e+00,0.000000000000000e+00,5.087758176821848e+00,1,1.517499983310699e-01,1.050099968910217e+00,1.517499983310699e-01,5.000000000000000e-01
7.260974060810809e-01,1.744766611199680e-01,8.788857339896000e-08,-1.439666735058708e-01,-4.729535314890102e-01,-3.241796788863047e-16,1.843441443475597e+00,9.850114682160283e-01,-1.837898454810253e-02,0.000000000000000e+00,1.314970735575522e+00,0.000000000000000e+00,5.087690447886661e+00,1,1.519999951124191e-01,1.050099968910217e+00,1.519999951124191e-01,5.000000000000000e-01
7.261373737661430e-01,1.744205875745212e-01,8.873571883266849e-08,-1.428258123988772e-01,-4.731026984010692e-01,-3.907961732098677e-16,1.843332040564196e+00,9.850554427520065e-01,-1.830082297629120e-02,0.000000000000000e+00,1.314939420959092e+00,0.000000000000000e+00,5.087622714914463e+00,1,1.522500067949295e-01,1.050099968910217e+00,1.522500067949295e-01,5.000000000000000e-01
7.261773390690567e-01,1.743645173711613e-01,8.958281377493361e-08,-1.416850192893273e-01,-4.732518564225007e-01,-4.574086970665497e-16,1.843222644173412e+00,9.850994146670206e-01,-1.822266606305482e-02,0.000000000000000e+00,1.314908108209071e+00,0.000000000000000e+00,5.087554985979278e+00,1,1.525000035762787e-01,1.050099968910217e+00,1.525000035762787e-01,5.000000000000000e-01
7.262173043719704e-01,1.743084471678017e-01,9.042990871719880e-08,-1.405442261797774e-01,-4.734010144439331e-01,-5.240212209232021e-16,1.843113247782627e+00,9.851433865820347e-01,-1.814450914981848e-02,0.000000000000000e+00,1.314876795459051e+00,0.000000000000000e+00,5.087487257044090e+00,1,1.527500003576279e-01,1.050099968910217e+00,1.527500003576279e-01,5.000000000000000e-01
7.262572696748841e-01,1.742523769644422e-01,9.127700365946403e-08,-1.394034330702274e-01,-4.735501724653658e-01,-5.906337447798547e-16,1.843003851391843e+00,9.851873584970489e-01,-1.806635223658214e-02,0.000000000000000e+00,1.314845482709030e+00,0.000000000000000e+00,5.087419528108905e+00,1,1.529999971389771e-01,1.050099968910217e+00,1.529999971389771e-01,5.000000000000000e-01
