iter log_res CL CD CM
283 -5.577336 0.0997063 1.1270652 -0.7613822
284 -5.576615 0.10006684 1.126182 -0.7631706
285 -5.57589 0.10042258 1.1252976 -0.7649318
286 -5.575161 0.10077352 1.1244116 -0.7666656
287 -5.574428 0.10111966 1.1235244 -0.7683722
288 -5.57369 0.10146102 1.1226358 -0.7700516
289 -5.572949 0.1017976 1.1217458 -0.7717038
290 -5.572204 0.1021294 1.1208544 -0.773329
291 -5.571454 0.10245644 1.1199618 -0.7749272
292 -5.5707 0.1027787 1.1190678 -0.7764986
293 -5.569942 0.10309622 1.1181726 -0.778043
294 -5.56918 0.103409 1.117276 -0.7795606
295 -5.568414 0.10371704 1.116378 -0.7810514
296 -5.567643 0.10402034 1.1154788 -0.7825156
297 -5.566868 0.10431892 1.1145784 -0.7839532
298 -5.56609 0.1046128 1.1136768 -0.7853644
299 -5.565307 0.10490196 1.1127738 -0.786749
300 -5.564519 0.10518644 1.1118696 -0.7881072
301 -5.563728 0.10546624 1.1109642 -0.7894392
302 -5.562932 0.10574136 1.1100576 -0.790745
303 -5.562132 0.10601182 1.1091496 -0.7920246
304 -5.561329 0.10627762 1.1082406 -0.7932782
305 -5.56052 0.1065388 1.1073304 -0.7945058
306 -5.559708 0.10679532 1.106419 -0.7957074
307 -5.558892 0.10704724 1.1055064 -0.7968834
308 -5.558071 0.10729456 1.1045926 -0.7980336
309 -5.557248 0.1075373 1.1036778 -0.7991582
310 -5.55642 0.10777546 1.1027618 -0.8002572
311 -5.555589 0.10800906 1.1018446 -0.8013308
312 -5.554753 0.10823814 1.1009264 -0.8023792
313 -5.553913 0.1084627 1.1000072 -0.8034022
314 -5.55307 0.10868276 1.0990868 -0.8044002
315 -5.552223 0.10889834 1.0981654 -0.8053732
316 -5.551371 0.10910944 1.0972428 -0.8063214
317 -5.550516 0.1093161 1.0963194 -0.8072446
318 -5.549656 0.10951834 1.0953948 -0.8081432
319 -5.548793 0.10971616 1.0944692 -0.8090172
320 -5.547926 0.10990958 1.0935424 -0.8098668
321 -5.547055 0.11009864 1.0926148 -0.810692
322 -5.546181 0.11028336 1.0916862 -0.8114928
323 -5.545304 0.11046372 1.0907566 -0.8122698
324 -5.544426 0.11063978 1.089826 -0.8130226
325 -5.543546 0.11081156 1.0888944 -0.8137514
326 -5.542663 0.11097908 1.087962 -0.8144568
327 -5.541777 0.11114234 1.0870286 -0.8151384
328 -5.540888 0.1113014 1.0860942 -0.8157966
329 -5.539997 0.11145624 1.0851588 -0.8164314
330 -5.539103 0.11160692 1.0842228 -0.817043
331 -5.538207 0.11175346 1.0832856 -0.8176316
332 -5.537308 0.11189586 1.0823478 -0.8181974
333 -5.536407 0.11203418 1.081409 -0.8187402
334 -5.535503 0.11216842 1.0804692 -0.8192606
335 -5.534596 0.11229862 1.0795288 -0.8197586
336 -5.533688 0.1124248 1.0785876 -0.8202342
337 -5.532777 0.11254698 1.0776454 -0.8206878
338 -5.531864 0.11266522 1.0767024 -0.8211194
339 -5.530948 0.11277952 1.0757588 -0.8215292
340 -5.53003 0.11288992 1.0748144 -0.8219174
341 -5.529111 0.11299646 1.0738692 -0.8222844
342 -5.528189 0.11309914 1.0729234 -0.82263
343 -5.527266 0.11319804 1.0719768 -0.8229546
344 -5.526341 0.11329316 1.0710294 -0.8232584
345 -5.525414 0.11338456 1.0700814 -0.8235418
346 -5.524487 0.11347224 1.0691328 -0.8238046
347 -5.523558 0.11355628 1.0681836 -0.8240474
348 -5.522628 0.1136367 1.0672338 -0.8242702
349 -5.521699 0.11371356 1.0662834 -0.8244736
350 -5.52077 0.11378692 1.0653324 -0.8246578
351 -5.519837 0.11385682 1.064381 -0.8248232
352 -5.518904 0.1139233 1.0634292 -0.82497
353 -5.517968 0.1139864 1.0624768 -0.825098
354 -5.517029 0.11404612 1.061524 -0.8252078
355 -5.516089 0.1141025 1.0605708 -0.8252994
356 -5.515148 0.11415558 1.059617 -0.825373
357 -5.514204 0.11420538 1.058663 -0.8254286
358 -5.513259 0.11425192 1.0577084 -0.8254666
359 -5.512314 0.11429526 1.0567534 -0.825487
360 -5.511366 0.1143354 1.055798 -0.82549
361 -5.510417 0.11437238 1.0548422 -0.8254756
362 -5.509467 0.11440624 1.0538858 -0.8254444
363 -5.508515 0.114437 1.0529292 -0.8253962
364 -5.507562 0.1144647 1.0519722 -0.8253314
365 -5.506607 0.11448936 1.0510148 -0.8252502
366 -5.505652 0.11451104 1.050057 -0.8251524
367 -5.504695 0.11452974 1.049099 -0.8250386
368 -5.503737 0.11454552 1.0481404 -0.824909
369 -5.502778 0.1145584 1.0471816 -0.8247634
370 -5.501818 0.11456842 1.0462224 -0.8246022
371 -5.500857 0.1145756 1.0452628 -0.8244258
372 -5.499895 0.11457998 1.044303 -0.8242342
373 -5.498932 0.11458162 1.043343 -0.8240274
374 -5.497969 0.11458052 1.0423824 -0.823806
375 -5.497005 0.11457672 1.0414218 -0.82357
376 -5.49604 0.11457028 1.0404606 -0.8233194
377 -5.495075 0.11456122 1.0394994 -0.8230548
378 -5.49411 0.11454958 1.0385378 -0.822776
379 -5.493144 0.11453538 1.037576 -0.8224834
380 -5.492177 0.11451868 1.0366138 -0.8221774
381 -5.49121 0.1144995 1.0356516 -0.8218578
382 -5.490244 0.11447788 1.034689 -0.821525
383 -5.489277 0.11445386 1.0337262 -0.8211792
384 -5.48831 0.11442746 1.0327632 -0.8208208
385 -5.487342 0.11439874 1.0318 -0.8204496
386 -5.486376 0.11436772 1.0308366 -0.820066
387 -5.485409 0.11433444 1.0298732 -0.8196704
388 -5.484443 0.11429894 1.0289094 -0.8192626
389 -5.483476 0.11426126 1.0279456 -0.8188432
390 -5.482511 0.11422144 1.0269816 -0.8184122
391 -5.481546 0.1141795 1.0260174 -0.8179698
392 -5.480581 0.1141355 1.025053 -0.8175162
393 -5.479617 0.11408946 1.0240886 -0.8170518
394 -5.478654 0.11404142 1.0231242 -0.8165766
395 -5.477692 0.1139914 1.0221596 -0.8160908
396 -5.476732 0.11393948 1.021195 -0.8155948
397 -5.475771 0.11388566 1.0202302 -0.8150886
398 -5.474813 0.11382998 1.0192654 -0.8145726
399 -5.473856 0.11377248 1.0183006 -0.8140466
400 -5.472901 0.1137132 1.0173356 -0.8135114
401 -5.471946 0.11365218 1.0163706 -0.8129666
402 -5.470994 0.11358944 1.0154058 -0.8124128
403 -5.470045 0.11352502 1.0144408 -0.8118502
404 -5.469097 0.11345898 1.0134758 -0.8112788
405 -5.468151 0.1133913 1.012511 -0.8106988
406 -5.467207 0.11332206 1.011546 -0.8101104
407 -5.466267 0.11325128 1.0105812 -0.809514
408 -5.465329 0.113179 1.0096164 -0.8089096
409 -5.464394 0.11310524 1.0086516 -0.8082976
410 -5.463462 0.11303004 1.007687 -0.8076778
411 -5.462534 0.11295342 1.0067224 -0.8070506
412 -5.461609 0.11287544 1.005758 -0.8064164
413 -5.460688 0.11279612 1.0047936 -0.8057752
414 -5.45977 0.11271548 1.0038294 -0.805127
415 -5.458857 0.11263358 1.0028652 -0.8044724
416 -5.457949 0.11255042 1.0019012 -0.8038112
417 -5.457045 0.11246606 1.0009374 -0.8031438
418 -5.456145 0.11238054 0.9999738 -0.8024704
419 -5.455251 0.11229388 0.9990104 -0.8017912
420 -5.454363 0.11220612 0.998047 -0.8011064
421 -5.453481 0.1121173 0.997084 -0.8004164
422 -5.452604 0.1120275 0.9961212 -0.7997214
423 -5.451734 0.11193678 0.9951586 -0.7990218
424 -5.450872 0.1118452 0.9941964 -0.798318
425 -5.450016 0.11175272 0.9932344 -0.7976098
426 -5.449168 0.11165936 0.9922726 -0.7968972
427 -5.448327 0.1115651 0.9913112 -0.7961802
428 -5.447494 0.11146998 0.9903502 -0.795459
429 -5.446671 0.11137398 0.9893894 -0.7947334
430 -5.445855 0.1112771 0.9884288 -0.7940034
431 -5.445048 0.11117934 0.9874688 -0.793269
432 -5.44425 0.11108068 0.986509 -0.7925302
433 -5.443462 0.11098114 0.9855494 -0.791787
434 -5.442683 0.11088068 0.9845904 -0.7910392
435 -5.441914 0.11077934 0.9836316 -0.790287
436 -5.441155 0.1106771 0.9826734 -0.7895302
437 -5.440407 0.11057394 0.9817154 -0.7887688
438 -5.439669 0.11046984 0.980758 -0.7880028
439 -5.438942 0.11036482 0.9798008 -0.787232
440 -5.438226 0.11025886 0.9788442 -0.7864564
441 -5.437522 0.11015196 0.977888 -0.7856762
442 -5.43683 0.1100441 0.9769322 -0.7848908
443 -5.436149 0.10993526 0.9759768 -0.7841006
444 -5.43548 0.10982542 0.975022 -0.7833054
445 -5.434824 0.1097146 0.9740676 -0.782505
446 -5.434181 0.10960278 0.9731138 -0.7816994
447 -5.43355 0.10948992 0.9721604 -0.7808886
448 -5.432932 0.10937602 0.9712074 -0.7800724
449 -5.432328 0.10926108 0.9702552 -0.7792508
450 -5.431737 0.10914506 0.9693032 -0.7784236
451 -5.43116 0.10902794 0.968352 -0.7775908
452 -5.430596 0.10890974 0.9674014 -0.7767522
453 -5.430048 0.10879042 0.9664512 -0.7759076
454 -5.429513 0.10866994 0.9655016 -0.7750574
455 -5.428993 0.10854832 0.9645526 -0.774201
456 -5.428487 0.10842554 0.9636042 -0.7733384
457 -5.427996 0.10830156 0.9626566 -0.7724696
458 -5.42752 0.10817636 0.9617094 -0.7715944
459 -5.427059 0.10804994 0.960763 -0.7707126
460 -5.426612 0.10792228 0.959817 -0.7698244
461 -5.426182 0.10779336 0.9588718 -0.7689296
462 -5.425767 0.10766314 0.9579274 -0.7680278
463 -5.425366 0.10753162 0.9569836 -0.7671192
464 -5.424981 0.10739878 0.9560404 -0.7662034
465 -5.424612 0.1072646 0.955098 -0.7652806
466 -5.424258 0.10712906 0.9541562 -0.7643504
467 -5.423919 0.10699214 0.9532152 -0.763413
468 -5.423597 0.1068538 0.952275 -0.762468
469 -5.42329 0.10671406 0.9513356 -0.7615156
470 -5.422998 0.10657286 0.9503968 -0.7605552
471 -5.422723 0.1064302 0.9494588 -0.7595872
472 -5.422462 0.10628608 0.9485218 -0.7586112
473 -5.422217 0.10614044 0.9475854 -0.7576272
474 -5.421988 0.10599328 0.9466498 -0.756635
475 -5.421775 0.10584458 0.945715 -0.7556348
476 -5.421576 0.10569432 0.9447812 -0.754626
477 -5.421393 0.1055425 0.943848 -0.7536088
478 -5.421225 0.10538908 0.9429158 -0.752583
479 -5.421071 0.10523404 0.9419846 -0.7515488
480 -5.420933 0.10507738 0.9410542 -0.7505058
481 -5.420809 0.10491908 0.9401246 -0.7494538
482 -5.4207 0.10475912 0.9391958 -0.748393
483 -5.420605 0.10459748 0.9382682 -0.7473232
484 -5.420524 0.10443416 0.9373414 -0.7462444
485 -5.420458 0.10426912 0.9364154 -0.7451566
486 -5.420404 0.10410238 0.9354906 -0.7440594
487 -5.420364 0.1039339 0.9345666 -0.7429528
488 -5.420338 0.10376368 0.9336436 -0.741837
489 -5.420324 0.1035917 0.9327216 -0.7407118
490 -5.420323 0.10341794 0.9318006 -0.739577
491 -5.420335 0.10324242 0.9308806 -0.7384328
492 -5.420358 0.1030651 0.9299616 -0.7372788
493 -5.420394 0.10288598 0.9290436 -0.7361154
494 -5.420441 0.10270506 0.9281268 -0.7349422
495 -5.420499 0.10252232 0.927211 -0.7337592
496 -5.420568 0.10233776 0.9262962 -0.7325666
497 -5.420648 0.10215136 0.9253824 -0.731364
498 -5.420738 0.10196312 0.9244698 -0.7301518
499 -5.42084 0.10177306 0.9235584 -0.7289296
500 -5.420953 0.10158114 0.922648 -0.7276974
501 -5.421078 0.10138736 0.9217388 -0.7264554
502 -5.421211 0.10119174 0.9208306 -0.7252036
503 -5.42135 0.10099426 0.9199238 -0.7239418
504 -5.421495 0.10079492 0.919018 -0.72267
505 -5.421645 0.10059372 0.9181134 -0.7213884
506 -5.421801 0.10039066 0.91721 -0.7200968
507 -5.421961 0.10018574 0.9163078 -0.7187952
508 -5.422126 0.09997898 0.9154068 -0.717484
509 -5.422294 0.09977036 0.914507 -0.7161628
510 -5.422465 0.0995599 0.9136084 -0.7148318
511 -5.422638 0.0993476 0.912711 -0.713491
512 -5.422814 0.09913346 0.911815 -0.7121404
513 -5.422991 0.0989175 0.9109202 -0.7107802
514 -5.423169 0.09869972 0.9100268 -0.7094102
515 -5.423347 0.09848012 0.9091346 -0.7080308
516 -5.423525 0.09825874 0.9082438 -0.7066418
517 -5.423702 0.09803554 0.9073542 -0.7052432
518 -5.423878 0.09781058 0.906466 -0.7038354
519 -5.424053 0.09758384 0.905579 -0.7024182
520 -5.424225 0.09735536 0.9046936 -0.7009916
