x ch normalized_heat_flux
0.0219090097 -0.00260055833 26101.4597667462
0.022013789 -0.00258013932 25896.5168658916
0.0221229922 -0.00255446043 25638.7812456374
0.0222368054 -0.00252233702 25316.3628310942
0.0223579174 -0.00249893661 25081.4960130366
0.0224790294 -0.0024755362 24846.6291949789
0.0226078518 -0.00244507007 24540.8446804499
0.0227421001 -0.00242059282 24295.1697618352
0.0228819996 -0.00240619923 24150.7032040387
0.0230277851 -0.00239601149 24048.4502060358
0.0231797025 -0.00238192314 23907.0473017199
0.0233380031 -0.00236098701 23696.9141358676
0.0235029534 -0.00233001797 23386.0819802302
0.0236748271 -0.00229312479 23015.79001549
0.0238539111 -0.00225765142 22659.7484958037
0.0240405016 -0.00222376059 22319.5907206437
0.0242349096 -0.00218512141 21931.7743849916
0.0244374536 -0.00215142965 21593.6146490741
0.0246484708 -0.00213146256 21393.2076094466
0.0248683058 -0.00211317418 21209.6495599069
0.02498281285 -0.00210153067 21092.7851910894
0.0250973199 -0.00208988716 20975.9208222718
0.0253358893 -0.00206364691 20712.5509059953
0.0255844016 -0.00203501922 20425.2185704233
0.0258432645 -0.00200162129 20090.0079673266
0.0261128936 -0.00196709181 19743.4401466438
0.0263937302 -0.00193092891 19380.4779056088
0.0266862232 -0.00189857127 19055.7085555567
0.0269908458 -0.0018761229 18830.3972369738
0.0273080822 -0.00185595546 18627.9793109131
0.0276384428 -0.00183582574 18425.9399755002
0.027982451 -0.00181658834 18232.8567378261
0.0283406526 -0.0017951898 18018.0824240051
0.0287136119 -0.00177114457 17776.7436329513
0.0291019138 -0.00174594938 17523.862845578
0.0295061674 -0.00171904429 17253.820018215
0.0299269985 -0.00169367332 16999.1749502467
0.03037401475 -0.001677842115 16840.2792409678
0.030821031 -0.00166201091 16681.3835316888
0.031295605 -0.00164173136 16477.8403723963
0.0317895077 -0.00162395567 16299.4281245306
0.0323034823 -0.00160544855 16113.6746105618
0.0328383073 -0.00158478355 15906.2627406347
0.0333947837 -0.00156527432 15710.451181228
0.0339737311 -0.00154917664 15548.8808976429
0.03457601 -0.00153715326 15428.2038239122
0.0352025032 -0.00152901805 15346.5517978609
0.0358541161 -0.00152449601 15301.1646808861
0.0365317874 -0.00152159366 15272.0341780705
