,x/h,pressure
71,-3.307952775534213963e+00,8.680912697478599949e-01
72,-3.292809295165604944e+00,8.681656141608273813e-01
73,-3.277531257162797917e+00,8.683162591598430069e-01
74,-3.262118656681652684e+00,8.684751644901270717e-01
75,-3.246571500405086574e+00,8.686432850435504838e-01
76,-3.230889757986025401e+00,8.688218302533716741e-01
77,-3.215073456014045483e+00,8.690096252406160904e-01
78,-3.199122583404609532e+00,8.693142072707901180e-01
79,-3.183037139359277568e+00,8.694201762496008845e-01
80,-3.166817123418063762e+00,8.696461663345392834e-01
81,-3.150462535451464152e+00,8.698825587835595785e-01
82,-3.133973375802657113e+00,8.701326475521907744e-01
83,-3.117349646173206867e+00,8.703986143652628904e-01
84,-3.100591347196675507e+00,8.706822900619020089e-01
85,-3.083698480851959189e+00,8.711304358175848694e-01
86,-3.066671045452652677e+00,8.713001987476173271e-01
87,-3.049509056747277569e+00,8.716384934851468813e-01
88,-3.032212497572766008e+00,8.720023106049331618e-01
89,-3.014781398515836486e+00,8.723847104892850091e-01
90,-2.997215743499806795e+00,8.727901856511446343e-01
91,-2.979515537399816338e+00,8.732242486666506043e-01
92,-2.961680793179020554e+00,8.739383946090300004e-01
93,-2.943711513661742885e+00,8.741825836864395294e-01
94,-2.925607705026859406e+00,8.747098673731751317e-01
95,-2.907369373896238507e+00,8.752729303898202362e-01
96,-2.888996527339234177e+00,8.758920774312212165e-01
97,-2.870489172742195727e+00,8.765373285145516835e-01
98,-2.851847318347595639e+00,8.772207018239741583e-01
99,-2.833070972610659322e+00,8.783326450894706205e-01
100,-2.814160155473540925e+00,8.787687129413151998e-01
101,-2.795114842907402419e+00,8.796307057757714043e-01
102,-2.775935070382929748e+00,8.805607926357914561e-01
103,-2.756620860930220740e+00,8.815650201433613553e-01
104,-2.737172197067013979e+00,8.826723690695313929e-01
105,-2.717589111421531811e+00,8.838516775796019243e-01
106,-2.697871602847981887e+00,8.858336301827024473e-01
107,-2.678019686740902738e+00,8.865283649834362345e-01
108,-2.658033376722702457e+00,8.880712469540242848e-01
109,-2.637912686618872904e+00,8.897474669083131893e-01
110,-2.617657629090611504e+00,8.915940391399811427e-01
111,-2.597268218591050282e+00,8.936222414591792340e-01
112,-2.576744463375652661e+00,8.959358935158590054e-01
113,-2.556086397846915936e+00,8.972398427005723320e-01
114,-2.535294054194129565e+00,9.011369403324579475e-01
115,-2.514368161561968407e+00,9.038939436361520530e-01
116,-2.493312357052547945e+00,9.062519725849198515e-01
117,-2.472136130798291198e+00,9.083360170654571908e-01
118,-2.450855415845852203e+00,9.101034926467419517e-01
119,-2.429490897665709248e+00,9.114971472327073609e-01
120,-2.408063441485295275e+00,9.124063758490530418e-01
121,-2.386593414116525480e+00,9.124083972460850234e-01
122,-2.365097005147870579e+00,9.118552712704526275e-01
123,-2.343584747577004634e+00,9.107532710187526970e-01
124,-2.322063754444091188e+00,9.091087983395617078e-01
125,-2.300535021491740828e+00,9.069869993150215803e-01
126,-2.278996837862009350e+00,9.044610210161463382e-01
127,-2.257444218932754154e+00,9.000149104078137841e-01
128,-2.235869245919673620e+00,8.981338731890701199e-01
129,-2.214263767042561781e+00,8.944078192258025917e-01
130,-2.192616828228892256e+00,8.903645244321690688e-01
131,-2.170918380830485273e+00,8.859688799457380304e-01
132,-2.149157144403597286e+00,8.812865795655325796e-01
133,-2.127321787759040017e+00,8.763179827701564895e-01
134,-2.105402345200723779e+00,8.683664453447055287e-01
135,-2.083386682198503870e+00,8.656310983490990152e-01
136,-2.061265534462133342e+00,8.599654877089525362e-01
137,-2.039030070514268100e+00,8.540557439315543675e-01
138,-2.016669034841392705e+00,8.479909922524431209e-01
139,-1.994175073159943690e+00,8.417749044288528326e-01
140,-1.971540737251107345e+00,8.353894926411529198e-01
141,-1.948757154756302956e+00,8.321348971307911402e-01
142,-1.925818558962173910e+00,8.222166728487716458e-01
143,-1.902718113958449031e+00,8.154580608672603592e-01
144,-1.879450743675113333e+00,8.086362832387026245e-01
145,-1.856011234148048805e+00,8.017396888460478488e-01
146,-1.832395408757139244e+00,7.947830501458788000e-01
147,-1.808599444308515602e+00,7.877881703382723089e-01
148,-1.784619978945835683e+00,7.772499286634975135e-01
149,-1.760455014164075793e+00,7.737142596632895497e-01
150,-1.736102575444782081e+00,7.666548939205320989e-01
151,-1.711560711865439677e+00,7.595903479106457246e-01
152,-1.686828150252648317e+00,7.526072244435602077e-01
153,-1.661904734351485446e+00,7.457048700913588846e-01
154,-1.636790456141274497e+00,7.388502757687492872e-01
155,-1.611485404144600952e+00,7.286456093671672685e-01
156,-1.585989952820278770e+00,7.253620051545690561e-01
157,-1.560305240323522025e+00,7.187905209207623436e-01
158,-1.534432606411420652e+00,7.123231938052734247e-01
159,-1.508373454594406748e+00,7.059371274668669871e-01
160,-1.482129307706400834e+00,6.997195725708418301e-01
161,-1.455702123391253711e+00,6.936797276574062643e-01
162,-1.429094008997716880e+00,6.848337876297770910e-01
163,-1.402307055715890982e+00,6.819414351031026778e-01
164,-1.375343366418906976e+00,6.762936342000075429e-01
165,-1.348205255520477763e+00,6.708141779077961830e-01
166,-1.320895093544188326e+00,6.654831934584263253e-01
167,-1.293415161402184488e+00,6.602919179720915244e-01
168,-1.265767687124029095e+00,6.552533545239569435e-01
169,-1.237954964573489525e+00,6.479881571599147572e-01
170,-1.209979265300904716e+00,6.456610221648609871e-01
171,-1.181842732726065437e+00,6.410680687969912972e-01
172,-1.153547408776561589e+00,6.366162447469202457e-01
173,-1.125095339961438512e+00,6.323060209325428449e-01
174,-1.096488490407014016e+00,6.281214396948578971e-01
175,-1.067728680454705259e+00,6.240506477776294192e-01
176,-1.038817582530948025e+00,6.181962279862677212e-01
177,-1.009756869070154162e+00,6.163199890044486207e-01
