"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.500000000000023e+00,1.397092840656808e-11,0.000000000000000e+00,3.823310249416283e-12,2.831499571440517e-11,-4.845204029390668e-14,1.000000000000012e+00,1.774823934929904e+00,-5.046451287544030e-15,0.000000000000000e+00,9.999999999999903e-01,1.686194150160109e-98,0.000000000000000e+00,5.075000000000000e+00,1,5.750000011175871e-03,5.750000011175871e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000023e+00,1.116571745648156e-11,0.000000000000000e+00,1.521101217570614e-12,2.261884428828784e-11,-5.335260223827920e-14,1.000000000000013e+00,1.774823934929903e+00,-4.668723753646085e-15,0.000000000000000e+00,9.999999999999907e-01,-4.159243935453576e-99,0.000000000000000e+00,5.074999999999999e+00,1,6.000000052154064e-03,6.000000052154064e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000022e+00,8.360506506394189e-12,0.000000000000000e+00,-7.811078142748268e-13,1.692269286216691e-11,-5.825316418264359e-14,1.000000000000013e+00,1.774823934929902e+00,-4.290996219747366e-15,0.000000000000000e+00,9.999999999999908e-01,-2.518042937250826e-98,0.000000000000000e+00,5.074999999999999e+00,1,6.250000093132257e-03,6.250000093132257e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000022e+00,6.773563656699194e-12,0.000000000000000e+00,-1.990129160208877e-12,1.355677377725242e-11,-5.418252817998192e-14,1.000000000000012e+00,1.774823934929902e+00,-3.778959075809692e-15,0.000000000000000e+00,9.999999999999912e-01,-3.058117323745328e-98,0.000000000000000e+00,5.075000000000000e+00,1,6.500000134110451e-03,6.500000134110451e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000021e+00,6.548683441824248e-12,0.000000000000000e+00,-1.976931768455870e-12,1.279612885274875e-11,-4.008180642748174e-14,1.000000000000011e+00,1.774823934929902e+00,-3.116759499421295e-15,0.000000000000000e+00,9.999999999999909e-01,-1.851776467329409e-98,0.000000000000000e+00,5.074999999999999e+00,1,6.750000175088644e-03,6.750000175088644e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000022e+00,6.323803226949712e-12,0.000000000000000e+00,-1.963734376702937e-12,1.203548392824707e-11,-2.598108467498424e-14,1.000000000000011e+00,1.774823934929903e+00,-2.454559923033467e-15,0.000000000000000e+00,9.999999999999910e-01,-6.454356109134925e-99,0.000000000000000e+00,5.075000000000001e+00,1,7.000000216066837e-03,7.000000216066837e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000022e+00,6.098923430946744e-12,0.000000000000000e+00,-1.950537009531994e-12,1.127484042055478e-11,-1.188038918712133e-14,1.000000000000010e+00,1.774823934929903e+00,-1.792361580087726e-15,0.000000000000000e+00,9.999999999999911e-01,5.609029985178512e-99,0.000000000000000e+00,5.075000000000001e+00,1,7.249999791383743e-03,7.249999791383743e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000022e+00,5.874043216072057e-12,0.000000000000000e+00,-1.937339617779010e-12,1.051419549605235e-11,2.220332565378759e-15,1.000000000000009e+00,1.774823934929903e+00,-1.130162003699627e-15,0.000000000000000e+00,9.999999999999910e-01,1.767243854933766e-98,0.000000000000000e+00,5.075000000000000e+00,1,7.499999832361937e-03,7.499999832361937e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000022e+00,5.649163001197124e-12,0.000000000000000e+00,-1.924142226026031e-12,9.753550571548764e-12,1.632105431787713e-14,1.000000000000009e+00,1.774823934929903e+00,-4.679624273113189e-16,0.000000000000000e+00,9.999999999999910e-01,2.973584711349695e-98,0.000000000000000e+00,5.075000000000001e+00,1,7.749999873340130e-03,7.749999873340130e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000022e+00,5.424282367450231e-12,0.000000000000000e+00,-1.910944809691021e-12,8.992904230233911e-12,3.042180233501074e-14,1.000000000000008e+00,1.774823934929903e+00,1.942383825195490e-16,0.000000000000000e+00,9.999999999999909e-01,4.179927814750195e-98,0.000000000000000e+00,5.075000000000001e+00,1,8.000000379979610e-03,8.000000379979610e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000022e+00,5.199402571447615e-12,0.000000000000000e+00,-1.897747442520033e-12,8.232260722543226e-12,4.452249782287865e-14,1.000000000000007e+00,1.774823934929903e+00,8.564367254650919e-16,0.000000000000000e+00,9.999999999999911e-01,5.386266424181529e-98,0.000000000000000e+00,5.075000000000001e+00,1,8.249999955296516e-03,8.249999955296516e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000022e+00,4.974521937700725e-12,0.000000000000000e+00,-1.884550026185030e-12,7.471614381228400e-12,5.862324584001168e-14,1.000000000000006e+00,1.774823934929903e+00,1.518637535295927e-15,0.000000000000000e+00,9.999999999999910e-01,6.592609527582026e-98,0.000000000000000e+00,5.075000000000001e+00,1,8.500000461935997e-03,8.500000461935997e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000023e+00,5.827407672928289e-12,0.000000000000000e+00,-6.676225348960615e-13,9.111702252795326e-12,4.846119194140979e-14,1.000000000000006e+00,1.774823934929904e+00,1.567126665559280e-15,0.000000000000000e+00,9.999999999999908e-01,1.924213040525800e-98,0.000000000000000e+00,5.075000000000001e+00,1,8.750000037252903e-03,8.750000037252903e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000024e+00,7.644272160059002e-12,0.000000000000000e+00,1.625949392545062e-12,1.289906053854021e-11,1.659796631892145e-14,1.000000000000007e+00,1.774823934929905e+00,1.066699891824695e-15,0.000000000000000e+00,9.999999999999906e-01,-7.998684209428463e-98,0.000000000000000e+00,5.075000000000003e+00,1,8.999999612569809e-03,8.999999612569809e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000025e+00,9.461143415549179e-12,0.000000000000000e+00,3.919529864221970e-12,1.668643293331950e-11,-1.526537800353080e-14,1.000000000000007e+00,1.774823934929905e+00,5.662712538519877e-16,0.000000000000000e+00,9.999999999999901e-01,-1.792161842511831e-97,0.000000000000000e+00,5.075000000000003e+00,1,9.250000119209290e-03,9.250000119209290e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000025e+00,1.127800790267957e-11,0.000000000000000e+00,6.213101791663171e-12,2.047379121906304e-11,-4.712860362601446e-14,1.000000000000007e+00,1.774823934929906e+00,6.584448011743816e-17,0.000000000000000e+00,9.999999999999898e-01,-2.784451567507265e-97,0.000000000000000e+00,5.075000000000002e+00,1,9.499999694526196e-03,9.499999694526196e-03,4.000000059604645e-01,5.000000000000000e-01
