#   iter  time             time step        CFL              NlinRnorm0       NlinRnorm0(r)    Elem Eq RHO      Elem Eq RHOU     Elem Eq RHOV     Elem Eq RHOW     Elem Eq RHOE     Elem Eq       
     920  5.699902182E-05  2.326325975E-07  1.000000000E+03  7.931383672E+04  2.590839058E+00  3.869201260E+06  6.577972355E+09  2.513924531E+09  2.495722543E+09  9.547134161E+12  4.307839325E+04
     940  6.165167379E-05  2.326325990E-07  1.000000000E+03  7.566294029E+04  2.471580106E+00  3.414067792E+06  5.840512026E+09  2.154876022E+09  2.133919722E+09  8.356978300E+12  4.124529510E+04
     960  6.630432577E-05  2.326325994E-07  1.000000000E+03  7.215649584E+04  2.357039773E+00  3.057746276E+06  5.258139447E+09  1.885294481E+09  1.852912033E+09  7.431694625E+12  3.987308533E+04
     980  7.095697776E-05  2.326325996E-07  1.000000000E+03  6.885195193E+04  2.249094655E+00  2.763907493E+06  4.776066937E+09  1.667134734E+09  1.629391043E+09  6.674627244E+12  3.874035610E+04
    1000  7.560962975E-05  2.326325996E-07  1.000000000E+03  6.603567108E+04  2.157098974E+00  2.514162461E+06  4.366370404E+09  1.487363419E+09  1.442533314E+09  6.034917175E+12  3.772149733E+04
#   iter  time             time step        CFL              NlinRnorm0       NlinRnorm0(r)    Elem Eq RHO      Elem Eq RHOU     Elem Eq RHOV     Elem Eq RHOW     Elem Eq RHOE     Elem Eq       
    1020  7.944201919E-05  7.432146277E-07  3.194799994E+03  6.426144568E+04  2.099142726E+00  2.464558981E+06  4.162903714E+09  1.445074104E+09  1.395638897E+09  5.764216341E+12  3.807387262E+04
    1040  1.146857087E-04  2.326325996E-06  1.000000000E+04  5.490463974E+04  1.793496456E+00  2.197686870E+06  3.159495672E+09  1.375949095E+09  1.249043921E+09  4.725318605E+12  4.515818942E+04
    1060  1.612122286E-04  2.326325996E-06  1.000000000E+04  5.158201986E+04  1.684960875E+00  6.288809983E+07  7.815622464E+10  7.260968124E+10  6.204505129E+10  1.174069309E+14  1.521160269E+06
    1080  2.077387486E-04  2.326325996E-06  1.000000000E+04  4.992422652E+04  1.630807957E+00  5.604787636E+07  1.338552367E+11  1.157944839E+11  1.155373332E+11  2.726628528E+14  2.700953625E+06
    1100  2.542652685E-04  2.326325996E-06  1.000000000E+04  4.751954604E+04  1.552257475E+00  6.360403104E+07  1.454883152E+11  9.507119402E+10  9.455664448E+10  2.595632506E+14  2.795142088E+06
    1120  3.007917884E-04  2.326325996E-06  1.000000000E+04  4.383986166E+04  1.432058145E+00  6.866875887E+07  1.113043612E+11  6.794774528E+10  6.433893552E+10  1.636162860E+14  2.077479532E+06
    1140  3.473183083E-04  2.326325996E-06  1.000000000E+04  3.873985756E+04  1.265463130E+00  5.168161020E+07  8.028299204E+10  6.906046386E+10  5.856253393E+10  1.393487827E+14  1.787761011E+06
