x pp_inf
0.424494863 3.03585386
0.428725481 3.03430963
0.432866991 3.03468442
0.436918706 3.03690696
0.44088006 3.04009748
0.444750726 3.04304171
0.448530555 3.04462934
0.452219486 3.04369473
0.455817699 3.0420053
0.4592868835 3.03964555
0.462756068 3.0372858
0.466186643 3.03307939
0.469617248 3.02936292
0.473047853 3.0281117
0.476478428 3.02983141
0.479909033 3.0338378
0.483339638 3.0390389
0.486770242 3.04419541
0.490200818 3.04819679
0.493631423 3.05025315
0.497062027 3.05001187
0.500492632 3.04748011
0.503923237 3.04297781
0.507353783 3.0371027
0.510784388 3.03069854
0.514214993 3.02470446
0.517645597 3.0200367
0.521076202 3.0175128
0.524506807 3.01761031
0.527937412 3.02037287
0.531368017 3.02541637
0.534798563 3.03196692
0.538229167 3.03897762
0.541659772 3.0454433
0.545090377 3.05062509
0.548520982 3.05405498
0.551951587 3.05558586
0.555382192 3.05526686
0.558812737 3.05347633
0.562243342 3.05000305
0.565673947 3.046453
0.569104552 3.04354465
0.572535157 3.0406363
0.575965762 3.03549027
0.579396367 3.02894306
0.582826912 3.02234721
0.586257517 3.01725078
0.589688122 3.01485896
0.593118727 3.01561737
0.596549332 3.01916814
0.599979937 3.02444649
0.603410542 3.02988625
0.606841087 3.03390026
0.610271692 3.03550649
0.613702297 3.03484726
0.617132902 3.03303671
0.620563507 3.03163218
0.623994112 3.03199267
0.627424717 3.03469944
0.630855262 3.03927088
0.634285867 3.04417205
0.637716472 3.04745221
0.641147077 3.04774094
0.644577682 3.04474759
0.648008287 3.03924823
0.651438892 3.03281188
0.654869437 3.0273881
0.658300042 3.02470303
0.661730647 3.02545023
0.665161252 3.02908301
0.668591857 3.03427839
0.672022462 3.03875804
0.675453067 3.04188728
0.678883642 3.041206835
0.682314217 3.04052639
0.685744822 3.03564358
0.689175427 3.02944446
0.692606032 3.02391839
0.696036637 3.02116466
0.699467242 3.02222538
0.702897787 3.02667141
0.706328392 3.03319168
0.709758997 3.03989172
0.713189602 3.04482818
0.716620207 3.0466342
0.720050812 3.04487991
0.723481417 3.04001737
0.726911962 3.03317165
0.730342567 3.02602768
0.733773172 3.02030826
0.737203777 3.01739311
0.740634382 3.0179944
0.744064987 3.02196288
0.747495592 3.02847004
0.750926197 3.03598976
0.754356742 3.04273796
0.757787347 3.0472424
0.761217952 3.04862428
0.764648557 3.04673791
0.768079162 3.04193926
0.771509767 3.03504658
0.774940372 3.02732682
0.778370917 3.02018857
0.781801522 3.01508975
0.785232127 3.01314664
0.788662732 3.017594935
0.792093337 3.02204323
0.795523942 3.02978015
0.798954546 3.03771687
0.802385092 3.04446459
0.805815697 3.04914808
0.809246302 3.05136132
0.812676907 3.05096936
0.816107512 3.04807091
0.819538116 3.0430131
0.822968721 3.03639412
0.826399267 3.02905536
0.829829872 3.02194023
0.833260477 3.01594567
0.836691082 3.01185751
0.840121686 3.0102911
0.843552291 3.01159239
0.846982896 3.01572347
0.850413442 3.0222311
0.853844047 3.03013444
0.857274652 3.03811049
0.860705256 3.04490018
0.864135861 3.0495801
0.867566466 3.05169916
0.870997071 3.05123258
0.874427617 3.04846621
0.877858222 3.0438621
0.881288826 3.0380311
0.884719431 3.03155136
0.888150036 3.02507067
0.891580641 3.01868105
0.895011246 3.01358843
0.898441821 3.012606145
0.901872396 3.01162386
0.905303001 3.01317239
0.908733606 3.01616693
0.912164211 3.02065706
0.915594816 3.02646708
0.919025421 3.03311062
0.922455966 3.0398035
0.925886571 3.04570389
0.929317176 3.0501008
0.932747781 3.05250716
0.936178386 3.05277491
0.939608991 3.05103922
0.943039596 3.04764104
0.946470201 3.04304338
0.949900746 3.03773928
0.953331351 3.03216553
0.956761956 3.02664971
0.960192561 3.02142239
0.963623166 3.01665568
0.967053771 3.01252484
0.970484376 3.00925827
0.973914921 3.00715446
0.977345526 3.00655866
0.980776131 3.00777936
0.984206736 3.01097798
0.987637341 3.01608586
0.991067946 3.0227077
0.994498551 3.03013659
0.997929096 3.03755498
1.0013597 3.0442028
1.00479031 3.04952288
1.008220915 3.05303574
1.01165152 3.0565486
1.01508212 3.0570128
1.01851273 3.05538034
1.02194333 3.05189824
1.02537394 3.04713678
1.02880454 3.04172277
1.03223503 3.036165
1.03566563 3.03081942
1.03909624 3.02588487
1.04252684 3.02144504
1.04595745 3.01750278
1.04938805 3.01402354
1.05281866 3.01099896
1.05624926 3.00849009
1.05967987 3.00666261
1.06311047 3.00576735
1.06654108 3.00609684
1.06997168 3.00790977
1.07340229 3.0113349
1.07683289 3.01631522
1.0802635 3.02253771
1.08369398 3.02944803
1.08712459 3.03635001
1.09055519 3.04257822
1.0939858 3.04761815
1.0974164 3.051126
1.10084701 3.05308223
1.10427761 3.053545
1.10770822 3.05280399
1.11113882 3.04991841
1.11456943 3.0471096
1.11838061 2.40776199
1.12219179 1.76841438
1.12634969 1.64212024
1.13047385 1.57348943
1.13456452 1.51923037
1.13862228 1.47494102
1.14264703 1.43779814
1.14663935 1.40547395
1.15059936 1.3769598
1.15452731 1.35155308
1.15842354 1.32855654
1.16228831 1.30753183
1.16612196 1.28822732
1.1699245 1.27043796
1.1736964 1.25398445
1.1774379 1.2387358
1.18114924 1.22459197
1.18483067 1.21147799
1.1884824 1.19934034
1.1921047 1.18813837
1.1956979 1.17783797
1.19926202 1.16841221
1.20279765 1.15983593
1.20630467 1.15208507
1.20978367 1.14512658
1.21323454 1.13892126
1.21665788 1.13340783
1.22005355 1.12854004
1.22342205 1.12419224
1.22676349 1.1204071
1.23007822 1.11688209
1.23336637 1.11360347
1.23661506 1.11118704
1.23986375 1.10877061
1.24307346 1.10648644
1.24625754 1.10416973
1.24941611 1.10169077
1.25254953 1.09910834
1.25565791 1.09646666
1.25874138 1.0937928
1.26180029 1.09111309
1.26483476 1.08845127
1.26784515 1.0858264
1.27083147 1.08324826
1.27379405 1.0807209
1.27673304 1.07824719
1.27964866 1.07582855
1.28254116 1.07346725
1.28541064 1.07116497
1.28825736 1.06892216
1.29108143 1.06673896
1.2938832 1.06461477
1.29666269 1.06254804
1.29942024 1.0605365
1.30215597 1.05857825
1.30487001 1.0566715
1.30756259 1.05481446
1.31023395 1.05300689
1.31288421 1.05124605
1.31551361 1.04954064
1.31812239 1.04787076
1.32071042 1.0463016
1.32327819 1.04470086
1.32582581 1.04317296
1.32834345 1.04213697
1.33086109 1.04110098
1.33334923 1.04021931
1.33581781 1.03935611
1.33826709 1.03839517
1.34069717 1.03738523
1.3431083 1.03635943
1.34550059 1.03533995
1.34787416 1.03435111
1.35022926 1.03341365
1.352566 1.03254557
1.35488462 1.03175449
1.35718524 1.03104079
1.35946798 1.03040075
1.36173296 1.02982795
1.36398041 1.02931488
1.36621046 1.02885449
1.36842322 1.02844095
1.37061894 1.0280695
1.37279773 1.02773786
1.37495971 1.02744532
1.37710512 1.02719212
1.37923396 1.02697957
1.38134646 1.02680898
1.38344264 1.0266819
1.38552296 1.02660215
1.38758719 1.02657235
1.38963568 1.02659667
1.39166856 1.02667224
1.39368594 1.02683616
1.39568794 1.02707314
1.3976748 1.02731562
1.39963901 1.027943435
1.40160322 1.02857125
1.40354514 1.02937329
1.4054724 1.03027439
1.40738499 1.03112459
1.40928328 1.03196383
1.41116726 1.03281534
1.41303706 1.03368866
1.41489279 1.03459251
1.41673458 1.03553355
1.41856265 1.03651834
1.42037714 1.03754973
1.42217791 1.03862679
1.42396545 1.03974628
1.42573953 1.04090297
1.42750061 1.0420891
1.42924857 1.0432955
1.43098354 1.0445118
1.43270576 1.04572654
1.43441534 1.04692829
1.43611228 1.04810548
1.43779671 1.04924738
1.43946886 1.05034363
1.44112885 1.05138648
1.44277668 1.05236828
1.44441247 1.05328226
1.44603634 1.05412221
1.44764853 1.05488384
1.44924903 1.05555725
1.45083785 1.05617344
1.45241535 1.05671322
1.45398152 1.05710196
1.455530825 1.05754137
1.45708013 1.05798078
1.45861292 1.0584023
1.46013474 1.05881441
1.46164584 1.05908215
1.46314609 1.0592283
1.46463585 1.05926609
1.466115 1.05919707
1.46758378 1.05902934
1.4690423 1.05877411
1.47049057 1.05844355
1.47192883 1.05804968
1.47335696 1.05760467
1.47477531 1.05711997
1.47618377 1.05660677
1.47758257 1.05607402
1.47897172 1.05552959
1.48035133 1.05497968
1.48172152 1.05442965
1.48308241 1.05388296
1.48443401 1.05334246
1.48577642 1.05281043
1.4871099 1.05228841
1.48843431 1.05177724
1.48974991 1.05127764
1.49105668 1.0507915
1.49235487 1.05031824
1.49364436 1.04985917
1.49492526 1.04940712
1.49619782 1.04898787
1.49746203 1.04856384
1.49871802 1.04811144
1.49996179 1.04786533
1.50120556 1.04761922
1.50243723 1.04751003
1.50366104 1.04746008
1.50487697 1.04736686
1.50608516 1.04724181
1.50728571 1.04708648
1.50847876 1.04689741
1.50966418 1.04667473
1.5108422 1.04642081
1.51201296 1.046139
1.51317632 1.04583263
1.51433265 1.04550481
1.51548183 1.04515898
1.51662397 1.04479885
1.5177592 1.04442811
1.51888752 1.04405022
1.52000904 1.04366899
1.52112389 1.04328728
1.52223206 1.04290771
1.52333367 1.04253197
1.52442884 1.04216182
1.52551758 1.04179835
1.5266 1.04144144
1.52767622 1.04109097
1.52874613 1.04074788
1.52981007 1.04041016
1.53086782 1.0400784
1.53191972 1.03974831
1.53296566 1.03943849
1.53400576 1.03912246
1.53504014 1.03876805
1.536066055 1.03857207
1.53709197 1.03837609
1.53810954 1.03829467
1.53912163 1.03826857
1.54012823 1.03821135
1.54112959 1.03813386
1.5421257 1.03803706
1.54311657 1.03791595
1.54410231 1.03776848
1.54508305 1.03759575
1.54605865 1.03740001
1.5470295 1.03718412
1.54799533 1.03695035
1.54895651 1.03670144
1.54991281 1.03643978
1.55086458 1.03616762
1.5518117 1.03588748
1.55275428 1.03560174
1.55369246 1.03531313
1.55462611 1.03502381
1.55555546 1.03473639
1.55648065 1.03445292
1.55740154 1.03417516
1.55831826 1.03390455
1.5592308 1.03364217
1.56013954 1.03339076
1.5610441 1.03315055
1.56194496 1.03292251
1.56284177 1.03270459
1.56373501 1.03251374
1.56462443 1.03233099
1.56551015 1.03211749
1.56639057 1.032052935
1.56727099 1.03198838
1.56814611 1.03203285
1.56901789 1.03214335
1.56988633 1.03223479
1.57075143 1.03231907
1.57161331 1.03239918
1.57247198 1.0324688
1.57332754 1.03252363
1.57418001 1.03256309
1.57502961 1.03258812
1.57587612 1.03259981
1.57671976 1.03259921
1.57756066 1.03258777
1.5783987 1.03256702
1.57923412 1.03253782
1.5800668 1.0325011
1.58089697 1.03245807
1.58172452 1.03240991
1.58254969 1.03235745
1.58337235 1.03230166
1.58419263 1.03224373
1.58501053 1.03218448
1.58582628 1.03212547
1.58663976 1.03206778
1.58745122 1.03201377
1.58826041 1.0319643
1.5890677 1.03192008
1.58987296 1.0318805
1.59067631 1.03186095
1.59147775 1.03184402
1.59227741 1.03178918
1.59307444 1.031829115
1.59387147 1.03186905
1.594666 1.03201568
1.59545887 1.03223693
1.5962503 1.03243864
1.59704018 1.03263426
1.59782863 1.03282845
1.59861577 1.03301287
1.59940147 1.03318214
1.60018599 1.03333724
1.6009692 1.03347969
1.60175133 1.03361213
1.60253227 1.03373408
1.60331213 1.03384304
1.60409105 1.03393483
1.60486901 1.03399658
1.60564613 1.03403604
1.60642231 1.03408134
1.60719776 1.0341512
1.60797238 1.03436899
1.60874641 1.03463447
1.60951972 1.03471458
1.61029255 1.03455651
1.61106479 1.03373253
1.61183655 1.03271198
1.61260796 1.03115833
1.61337888 1.03004503
1.61414957 1.06994092
1.61492002 1.22043455
1.61569011 1.50305319
1.6164602 1.89593637
1.61723018 2.10035229
1.617939175 3.24134946
1.61864817 4.38234663
1.61929619 5.59766388
1.61994433 6.79105186
1.62059247 7.78840876
1.62124062 8.60702229
1.62188876 9.29506302
1.6225369 9.89862347
1.62318504 10.4574184
1.62383318 10.9846582
1.6244812 11.4969807
1.62512934 11.9992523
1.62577748 12.4970417
1.62642562 12.9934349
1.62707376 13.4898863
1.62772191 13.9872293
1.62837005 14.4860744
1.62901807 14.9864407
1.62966621 15.4882994
1.63031435 15.9916058
1.63096249 16.4961243
1.63161063 17.0017147
1.63225877 17.5081253
1.63290691 18.0147476
1.63355505 18.5208778
1.63420308 19.0256824
1.63485122 19.5282345
1.63549936 20.027689
1.6361475 20.5236206
1.63679564 21.0158329
1.63744378 21.5024109
1.63809192 21.980299
1.63874 22.45139025
1.63938808 22.9224815
1.64003623 23.372776
1.64068437 23.8141422
1.64133251 24.2361794
1.64198065 24.638731
1.64262879 25.0236263
1.64327693 25.3923931
1.64392495 25.7445679
1.64457309 26.0748615
1.64522123 26.3767624
1.64586937 26.6437073
1.64651752 26.8722343
1.64716566 27.0655079
1.6478138 27.2292767
1.64846182 27.3723145
1.64910996 27.5026455
1.6497581 27.6250095
1.65040624 27.7398472
1.65105438 27.8393764
1.65170252 27.9154129
1.65235066 27.9614506
1.65299881 27.9772072
1.65364683 27.9703064
1.65429497 27.9468536
1.65494311 27.9137917
1.65559125 27.8778763
1.65623939 27.8439045
1.65688753 27.8176785
1.65753567 27.8022251
1.65818369 27.7960072
1.65883183 27.7971344
1.659479975 27.80023005
1.66012812 27.8033257
1.66077626 27.7914734
1.6614244 27.7756138
1.66207254 27.7621727
1.66272068 27.7507992
1.6633687 27.7390499
1.66401684 27.7243195
1.66466498 27.7046051
1.66531312 27.6781197
1.66596127 27.6428986
1.66660941 27.5987339
1.66725755 27.5532761
1.66790557 27.5303211
1.66855371 27.5509739
1.66920185 27.6221447
1.66984999 27.7425404
1.67049813 27.8876362
1.67114627 28.0212879
1.67179441 28.093359
1.67244256 28.0798302
1.67309058 27.997879
1.67373872 27.8627338
1.67438686 27.7028179
1.675035 27.5537548
1.67568314 27.4360466
1.67633128 27.3529797
1.67697942 27.3013477
1.67762744 27.2768784
1.67827559 27.2713318
1.67892373 27.2743874
1.67957187 27.2801647
1.68022001 27.2735872
1.68086815 27.2670097
1.68151629 27.2539806
1.68216443 27.23839
1.68281245 27.2292767
1.68346059 27.2319546
1.68410873 27.2458534
1.68475688 27.2653809
1.68540502 27.2807178
1.68605316 27.280901
1.6867013 27.2579975
1.68734932 27.2125721
1.68799746 27.1535988
1.6886456 27.0978127
1.68929374 27.0613308
1.68994188 27.0506744
1.69059002 27.0644169
1.69123816 27.0957317
1.69188631 27.1339493
1.69253433 27.1659279
1.69318247 27.1825752
1.69383061 27.180294
1.69447875 27.1587105
1.69512689 27.1219063
1.69577503 27.075922
1.69642317 27.0262508
1.69707119 26.9793625
1.69771934 26.9424648
1.69836748 26.9195137
1.69901562 26.9128418
1.69966376 26.9219856
1.7003119 26.9399948
1.70096004 26.9648657
1.70160818 26.9897366
1.7022562 27.0047607
1.70290434 27.0124111
1.70355248 27.0115414
1.70420063 27.0041733
1.70484877 26.9928532
1.70549691 26.9804993
1.70614505 26.9694862
1.70679307 26.9608917
1.70744121 26.9555645
1.70808935 26.9540501
1.70873749 26.9574051
1.70938563 26.9647408
1.71003377 26.9747868
1.71068192 26.9871159
1.71133006 26.9998493
1.71197808 27.0118179
1.71262622 27.0213757
1.71327436 27.0268936
1.7139225 27.0279903
1.71457064 27.0250072
1.71521878 27.0200214
1.71586692 27.0159397
1.71651495 27.0160313
1.71716309 27.0230827
1.71781123 27.0379429
1.71845937 27.059288
1.71910751 27.0846729
1.71975565 27.1074142
1.72040379 27.1001511
1.72105193 27.0438538
1.72176659 16.134080905
1.72248125 5.22430801
1.72326255 4.55755091
1.72404373 4.24418306
1.72482502 4.02982092
1.7256062 3.86882162
1.7263875 3.73977113
1.7271688 3.63343501
1.72794998 3.54303694
1.72873127 3.46484733
1.72951245 3.396415
1.73029375 3.33541942
1.73107505 3.28026247
1.73185623 3.22984648
1.73263752 3.18321157
1.7334187 3.1397593
1.7342 3.09910917
1.7349813 3.06094599
1.73576248 3.02498984
1.73654377 2.99098253
1.73732495 2.95867324
1.73810625 2.927881
1.73888755 2.89846134
1.73966873 2.87022662
1.74045002 2.8430171
1.7412312 2.81682062
1.7420125 2.79164648
1.7427938 2.76737165
1.74357498 2.74385166
1.74435627 2.72099257
1.74513745 2.69874001
1.74591875 2.67766333
1.74669999 2.655689835
1.74748123 2.63371634
1.74826252 2.61476898
1.7490437 2.59616709
1.749825 2.57848907
1.7506063 2.56158018
1.75138748 2.54522371
1.75216877 2.52938747
1.75294995 2.51403379
1.75373125 2.49912024
1.75451255 2.48460698
1.75529373 2.47049761
1.75607502 2.45680046
1.7568562 2.44347239
1.7576375 2.43047261
1.7584188 2.41783094
1.75919998 2.40557933
1.75998127 2.39379025
1.76076245 2.38253808
1.76154375 2.37176561
1.76232505 2.36141396
1.76310623 2.35136795
1.76388752 2.34151101
1.7646687 2.33188248
1.76545 2.32251906
1.7662313 2.31355095
1.76701248 2.30511642
1.76779377 2.2973156
1.76857495 2.29029584
1.76935625 2.28340673
1.77013755 2.27670169
1.77091873 2.26971531
